x,z
http://gemeenteraad.org/vocabulary/invalid_vote(1949),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/Partij_voor_de_Dieren_have_vote(2014),http://gemeenteraad.org/vocabulary/Partij_voor_de_Dieren_have_vote(2014)
http://gemeenteraad.org/vocabulary/Partij_voor_de_Dieren_have_vote(2014),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/SP_have_vote(1994),http://gemeenteraad.org/vocabulary/SP_have_vote(1994)
http://gemeenteraad.org/vocabulary/SP_have_vote(1994),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/SGP_have_vote(1990),http://gemeenteraad.org/vocabulary/SGP_have_vote(1990)
http://gemeenteraad.org/vocabulary/SGP_have_vote(1990),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/blank_vote(2006),http://gemeenteraad.org/vocabulary/blank_vote(2006)
http://gemeenteraad.org/vocabulary/blank_vote(2006),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/PvdA_have_vote(1962),http://gemeenteraad.org/vocabulary/PvdA_have_vote(1962)
http://gemeenteraad.org/vocabulary/PvdA_have_vote(1962),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/PvdA_have_vote(1974),http://gemeenteraad.org/vocabulary/PvdA_have_vote(1974)
http://gemeenteraad.org/vocabulary/PvdA_have_vote(1974),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/PvdA_have_vote(1986),http://gemeenteraad.org/vocabulary/PvdA_have_vote(1986)
http://gemeenteraad.org/vocabulary/PvdA_have_vote(1986),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/has_vote_percent(1990),http://gemeenteraad.org/vocabulary/has_vote_percent(1990)
http://gemeenteraad.org/vocabulary/has_vote_percent(1990),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/PvdA_have_vote(1998),http://gemeenteraad.org/vocabulary/PvdA_have_vote(1998)
http://gemeenteraad.org/vocabulary/PvdA_have_vote(1998),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/PvdA&GL&D66&SP_have_vote(2006),http://gemeenteraad.org/vocabulary/PvdA&GL&D66&SP_have_vote(2006)
http://gemeenteraad.org/vocabulary/PvdA&GL&D66&SP_have_vote(2006),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/CHU_have_vote(1953),http://gemeenteraad.org/vocabulary/CHU_have_vote(1953)
http://gemeenteraad.org/vocabulary/CHU_have_vote(1953),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/Overig_have_vote(2002),http://gemeenteraad.org/vocabulary/Overig_have_vote(2002)
http://gemeenteraad.org/vocabulary/Overig_have_vote(2002),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/voters_number(1990),http://gemeenteraad.org/vocabulary/voters_number(1990)
http://gemeenteraad.org/vocabulary/voters_number(1990),http://www.w3.org/2002/07/owl#topDataProperty
http://purl.org/dc/terms/description,http://purl.org/dc/terms/description
http://purl.org/dc/terms/description,http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/invalid_vote(2010),http://gemeenteraad.org/vocabulary/invalid_vote(2010)
http://gemeenteraad.org/vocabulary/invalid_vote(2010),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/KNP_have_vote(1953),http://gemeenteraad.org/vocabulary/KNP_have_vote(1953)
http://gemeenteraad.org/vocabulary/KNP_have_vote(1953),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/vote_number(1966),http://gemeenteraad.org/vocabulary/vote_number(1966)
http://gemeenteraad.org/vocabulary/vote_number(1966),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/percent_vote(2006),http://gemeenteraad.org/vocabulary/percent_vote(2006)
http://gemeenteraad.org/vocabulary/percent_vote(2006),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/vote_number(1978),http://gemeenteraad.org/vocabulary/vote_number(1978)
