Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;PvdA;CDA;VVD;RK;Overige;PAK;PCG;KVP;CPN;PPR;SGP;CHU;ARP;GPV;PSP;BP;DS70;D66;PC;GG
10783;184;Urk;4213;0;0,00%;4790;4231;88,33%;0;0;0;0;1172;0;0;0;0;0;829;450;1399;185;0;178;0;0;0;0
10700;980;Urmond;2740;0;0,00%;3078;2773;90,09%;0;0;0;2740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10696;452;Ursem;1242;0;0,00%;1664;1256;75,48%;0;735;0;0;507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11035;46;Usquert;1007;0;0,00%;1176;1022;86,90%;605;0;0;0;402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10140;95;Utingeradeel;2705;0;0,00%;3451;2710;78,53%;1087;0;489;0;251;0;611;0;0;0;0;0;0;0;267;0;0;0;0;0
10722;344;Utrecht;113467;0;0,00%;185719;114086;61,43%;37306;29665;19967;0;3315;0;0;0;3866;8465;1201;0;0;1236;3632;1309;0;3505;0;0
10007;981;Vaals;5101;0;0,00%;6498;5191;79,89%;223;0;0;4089;651;0;0;0;138;0;0;0;0;0;0;0;0;0;0;0
11071;283;Valburg;4912;0;0,00%;6825;4933;72,28%;674;0;490;0;1136;0;0;1239;0;0;353;0;0;0;0;0;0;0;1020;0
10028;619;Valkenburg;1406;0;0,00%;1801;1412;78,40%;0;0;194;0;145;180;0;0;0;0;0;546;239;102;0;0;0;0;0;0
11077;982;Valkenburg-Houthem;7625;0;0,00%;8677;7692;88,65%;0;0;0;7625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10779;720;Valkenisse;2617;0;0,00%;3617;2627;72,63%;0;0;0;0;536;527;1291;0;0;0;263;0;0;0;0;0;0;0;0;0
11031;858;Valkenswaard;11149;0;0,00%;16829;11231;66,74%;0;5077;1090;3165;0;1817;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11064;284;Varik;683;0;0,00%;841;698;83,00%;198;0;0;0;485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11292;47;Veendam;12538;0;0,00%;17663;12663;71,69%;0;3350;1887;0;212;6266;0;0;691;0;0;0;0;0;0;0;132;0;0;0
11052;345;Veenendaal;15858;0;0,00%;21737;15902;73,16%;3807;0;2033;503;0;0;0;0;0;514;2769;3353;2438;441;0;0;0;0;0;0
10369;717;Veere;2235;0;0,00%;2727;2245;82,32%;0;0;246;0;359;0;0;0;0;0;232;397;879;122;0;0;0;0;0;0
10985;860;Veghel;8739;0;0,00%;12921;8802;68,12%;0;0;1524;7215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10071;861;Veldhoven;10639;0;0,00%;17271;10698;61,94%;0;5557;1572;1533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1977
10620;453;Velsen;30969;0;0,00%;45328;31087;68,58%;10422;9069;5421;0;2378;0;0;0;1661;0;376;0;0;0;0;0;1642;0;0;0
10433;454;Venhuizen;3050;0;0,00%;4211;3062;72,71%;722;1177;0;0;1065;0;0;0;86;0;0;0;0;0;0;0;0;0;0;0
10477;983;Venlo;23804;0;0,00%;40645;24001;59,05%;3362;10822;4552;2861;1977;0;0;0;230;0;0;0;0;0;0;0;0;0;0;0
11222;984;Venray;11398;0;0,00%;18969;11488;60,56%;775;0;958;8889;0;0;0;0;0;476;0;0;0;0;0;300;0;0;0;0
11414;862;Vessem c.a.;2112;0;0,00%;2614;2131;81,52%;0;0;0;2112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10887;620;Vianen;5444;0;0,00%;7446;5467;73,42%;1508;0;697;0;1656;0;976;607;0;0;0;0;0;0;0;0;0;0;0;0
10066;863;Vierlingsbeek;3476;0;0,00%;4324;3505;81,06%;0;0;0;3476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11056;621;Vierpolders;950;0;0,00%;1230;961;78,13%;405;0;0;0;499;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0
11048;346;Vinkeveen  c.a.;4131;0;0,00%;5619;4156;73,96%;0;0;917;0;1014;0;459;1245;0;0;0;496;0;0;0;0;0;0;0;0
