Partij;# Stemmen;Percentage;# Zetels;;;;;;;;;;;;;;
PvdA;1147049;25,70%;0;;;;;;;;;;;;;;
KVP;958264;21,47%;0;;;;;;;;;;;;;;
Overige partijen met zetels;879578;19,70%;0;;;;;;;;;;;;;;
CPN;481133;10,78%;0;;;;;;;;;;;;;;
ARP;359374;8,05%;0;;;;;;;;;;;;;;
CHU;286436;6,42%;0;;;;;;;;;;;;;;
PvdV;242839;5,44%;0;;;;;;;;;;;;;;
SGP;55638;1,25%;0;;;;;;;;;;;;;;
Overige partijen zonder zetels;53606;1,20%;0;;;;;;;;;;;;;;
