Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;LOG;CDA;PvDA;VVD;GL;D66;CU;SP;LPG;SGP;LCG;Overig
;995;Lelystad;24543;60;0,24%;49794;24603;49,41%;4906;3132;5003;4461;2199;1372;1425;1133;0;0;0;912
;82;Lemsterland;6009;5;0,08%;9908;6014;60,70%;1200;1504;937;789;0;337;335;0;0;0;0;907
;327;Leusden;14146;26;0,18%;21471;14172;66,01%;1200;3513;2553;3166;1532;888;0;0;0;0;1294;0
;260;Lichtenvoorde;9290;12;0,13%;14328;9302;64,92%;2650;3825;823;1699;0;293;0;0;0;0;0;0
;1673;Liemeer;2973;10;0,34%;4851;2983;61,49%;976;1100;0;897;0;0;0;0;0;0;0;0
;694;Liesveld;5377;13;0,24%;6993;5390;77,08%;654;1408;971;798;0;0;0;0;0;0;1546;0
;733;Lingewaal;5156;4;0,08%;7995;5160;64,54%;0;1600;1668;1022;0;0;519;0;0;347;0;0
;553;Lisse;10340;2;0,02%;16897;10342;61,21%;2340;3350;1321;1147;0;1091;0;0;0;0;1091;0
;808;Lith;4095;26;0,63%;5024;4121;82,03%;4095;0;0;0;0;0;0;0;0;0;0;0
;140;Littenseradiel;5566;10;0,18%;7919;5576;70,41%;1159;1782;1532;1093;0;0;0;0;0;0;0;0
;262;Lochem;10295;17;0,17%;15238;10312;67,67%;2937;1725;2110;1733;1061;729;0;0;0;0;0;0
;329;Loenen;4433;4;0,09%;6403;4437;69,30%;919;1264;613;939;0;698;0;0;0;0;0;0
;809;Loon op Zand;10218;13;0,13%;17720;10231;57,74%;5556;2044;813;1217;588;0;0;0;0;0;0;0
;331;Lopik;6411;10;0,16%;9880;6421;64,99%;0;2497;1082;1100;0;0;965;0;0;767;0;0
;24;Loppersum;5612;7;0,12%;8280;5619;67,86%;1092;1490;1191;606;541;0;692;0;0;0;0;0
;168;Losser;10443;8;0,08%;17338;10451;60,28%;4018;4150;1180;1095;0;0;0;0;0;0;0;0
;332;Maarn;3294;5;0,15%;4443;3299;74,25%;0;973;858;975;0;265;0;0;0;223;0;0
;333;Maarssen;17533;30;0,17%;30373;17563;57,82%;3505;3024;3389;4179;1844;867;0;0;0;0;725;0
;933;Maasbracht;7299;19;0,26%;10807;7318;67,72%;1946;2915;864;0;0;0;0;0;1574;0;0;0
;934;Maasbree;5977;11;0,18%;9665;5988;61,96%;2473;2192;832;480;0;0;0;0;0;0;0;0
