Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;LOG;CDA;PvDA;VVD;GL;D66;CU;SP;LPG;SGP;LCG;Overig
;610;Sliedrecht;12123;14;0,12%;18149;12137;66,87%;2584;1762;2778;1292;0;0;0;0;0;0;3707;0
;40;Slochteren;7291;14;0,19%;11426;7305;63,93%;2661;1178;1462;0;568;426;996;0;0;0;0;0
;90;Smallingerland;25680;20;0,08%;40258;25700;63,84%;4368;6412;5476;2329;1914;758;2926;1497;0;0;0;0
;91;Sneek;13978;32;0,23%;24676;14010;56,78%;1741;3670;3851;2164;1107;661;784;0;0;0;0;0
;342;Soest;21132;54;0,26%;34342;21186;61,69%;7550;3745;1578;4068;1825;1152;0;0;0;0;1214;0
;847;Someren;9360;14;0,15%;13591;9374;68,97%;5516;1806;0;1197;0;0;0;0;841;0;0;0
;848;Son en Breugel;7840;91;1,16%;11421;7931;69,44%;4244;1383;0;1248;0;0;0;0;965;0;0;0
;612;Spijkenisse;28248;53;0,19%;57035;28301;49,62%;13333;2617;4096;3356;1263;1003;0;0;0;0;1026;1554
;37;Stadskanaal;14527;26;0,18%;26113;14553;55,73%;3081;3681;3636;1745;0;0;2384;0;0;0;0;0
;180;Staphorst;8695;3;0,03%;10532;8698;82,59%;1187;1619;1027;0;0;0;2117;0;0;2745;0;0
;532;Stede Broec;9247;13;0,14%;15918;9260;58,17%;5081;1551;597;758;569;691;0;0;0;0;0;0
;851;Steenbergen;10235;11;0,11%;18175;10246;56,37%;2940;2911;735;1642;0;1296;0;0;0;0;711;0
;280;Steenderen;2783;18;0,65%;3788;2801;73,94%;0;1460;699;624;0;0;0;0;0;0;0;0
;971;Stein;13899;25;0,18%;21198;13924;65,69%;7068;3640;1851;637;0;703;0;0;0;0;0;0
;617;Strijen;4468;6;0,13%;7196;4474;62,17%;760;1328;724;906;383;0;0;0;0;367;0;0
;975;Swalmen;3863;4;0,10%;6902;3867;56,03%;1089;1199;0;807;0;0;0;0;768;0;0;0
;9;Ten Boer;3849;0;0,00%;5287;3849;72,80%;639;900;867;582;0;166;695;0;0;0;0;0
;480;Ter Aar;4156;12;0,29%;6682;4168;62,38%;1576;1640;0;940;0;0;0;0;0;0;0;0
;93;Terschelling;2736;8;0,29%;3826;2744;71,72%;410;863;955;508;0;0;0;0;0;0;0;0
;448;Texel;7404;26;0,35%;10445;7430;71,13%;1856;1555;1065;1248;1006;674;0;0;0;0;0;0
;716;Tholen;11779;13;0,11%;17516;11792;67,32%;1486;1487;2364;1351;0;554;1263;0;0;3274;0;0
;977;Thorn;1329;133;10,01%;2054;1462;71,18%;445;440;444;0;0;0;0;0;0;0;0;0
;281;Tiel;15040;30;0,20%;29944;15070;50,33%;4025;2282;3756;2421;1242;862;0;0;0;452;0;0
;855;Tilburg;69683;174;0,25%;152322;69857;45,86%;13986;14779;12573;12666;6447;2845;0;6387;0;0;0;0
;183;Tubbergen;10294;11;0,11%;14709;10305;70,06%;2059;7276;959;0;0;0;0;0;0;0;0;0
;1730;Tynaarlo;16322;29;0,18%;24370;16351;67,09%;5329;1886;2637;3096;1460;1095;819;0;0;0;0;0
;737;Tytsjerksteradiel;16067;16;0,10%;23828;16083;67,50%;4014;5265;2995;1765;1061;0;967;0;0;0;0;0
;282;Ubbergen;5006;9;0,18%;7406;5015;67,72%;2685;718;0;555;0;0;0;0;1048;0;0;0
;856;Uden;18198;22;0,12%;30611;18220;59,52%;6052;4884;1357;2829;0;437;0;2639;0;0;0;0
;450;Uitgeest;5623;9;0,16%;8744;5632;64,41%;1139;1102;791;890;0;342;0;0;1359;0;0;0
;451;Uithoorn;11662;27;0,23%;20171;11689;57,95%;2698;2502;1745;3159;942;616;0;0;0;0;0;0
;184;Urk;8717;3;0,03%;10001;8720;87,19%;1338;2364;0;0;0;0;2466;0;0;2549;0;0
;981;Vaals;4444;15;0,34%;8515;4459;52,37%;1447;1412;1254;331;0;0;0;0;0;0;0;0
;619;Valkenburg;1864;4;0,21%;2753;1868;67,85%;0;854;281;470;0;0;259;0;0;0;0;0
;994;Valkenburg aan de Geul;10384;15;0,14%;14569;10399;71,38%;4913;2570;598;727;0;0;0;1576;0;0;0;0
;858;Valkenswaard;14933;33;0,22%;24417;14966;61,29%;6671;2838;1596;2280;1017;531;0;0;0;0;0;0
;47;Veendam;12554;22;0,18%;22074;12576;56,97%;3771;1440;3667;1595;794;530;757;0;0;0;0;0
;345;Veenendaal;29479;33;0,11%;44340;29512;66,56%;0;5459;2961;6534;3073;1974;6177;0;0;3301;0;0
;717;Veere;12103;10;0,08%;16724;12113;72,43%;1055;2745;0;2507;0;404;752;0;2510;2130;0;0
;860;Veghel;16062;24;0,15%;27156;16086;59,24%;10260;4467;0;1335;0;0;0;0;0;0;0;0
;861;Veldhoven;17717;54;0,30%;32573;17771;54,56%;8663;4701;1951;2402;0;0;0;0;0;0;0;0
;453;Velsen;29059;51;0,18%;51510;29110;56,51%;11482;4164;4568;4110;1907;1585;1243;0;0;0;0;0
;454;Venhuizen;3838;10;0,26%;5825;3848;66,06%;1103;795;620;1320;0;0;0;0;0;0;0;0
;984;Venray;16745;25;0,15%;28797;16770;58,24%;6950;4973;2723;2099;0;0;0;0;0;0;0;0
;620;Vianen;8860;7;0,08%;14743;8867;60,14%;3964;1312;1332;1024;0;0;537;0;0;691;0;0
;622;Vlaardingen;30391;64;0,21%;58174;30455;52,35%;5742;5222;6060;4325;2359;1046;0;2486;0;0;2345;806
;48;Vlagtwedde;7052;13;0,18%;13128;7065;53,82%;1271;1862;1766;1023;532;196;402;0;0;0;0;0
;96;Vlieland;634;13;2,05%;898;647;72,05%;174;0;166;294;0;0;0;0;0;0;0;0
;718;Vlissingen;17198;26;0,15%;35635;17224;48,33%;3313;2788;3514;2946;1245;646;0;1465;0;0;1281;0
;623;Vlist;5177;9;0,17%;7369;5186;70,38%;1770;1351;571;617;0;0;0;0;0;0;868;0
;986;Voerendaal;6992;8;0,11%;10376;7000;67,46%;2335;1931;1107;470;0;1149;0;0;0;0;0;0
;625;Voorhout;6292;27;0,43%;10298;6319;61,36%;2601;1505;0;1273;0;0;0;0;913;0;0;0
;626;Voorschoten;10776;25;0,23%;17213;10801;62,75%;0;3051;1512;3735;1458;1020;0;0;0;0;0;0
;285;Voorst;11670;12;0,10%;18031;11682;64,79%;4271;2899;0;1664;0;0;0;0;2433;0;403;0
;286;Vorden;4463;8;0,18%;6706;4471;66,67%;0;1943;879;1329;0;312;0;0;0;0;0;0
;865;Vught;11581;37;0,32%;19387;11618;59,93%;4802;1932;0;1988;0;935;0;0;1924;0;0;0
;866;Waalre;8122;18;0,22%;12429;8140;65,49%;3334;1448;721;1990;0;629;0;0;0;0;0;0
;867;Waalwijk;19293;43;0,22%;35273;19336;54,82%;8624;3360;1636;2950;0;0;842;0;1153;728;0;0
;627;Waddinxveen;12207;16;0,13%;19896;12223;61,43%;2208;2216;1577;1977;0;1250;0;0;0;0;2979;0
;289;Wageningen;16291;94;0,58%;26144;16385;62,67%;981;2678;3866;2557;3932;1226;784;0;0;267;0;0
;628;Warmond;2777;5;0,18%;3938;2782;70,64%;755;808;0;467;0;0;0;0;747;0;0;0
;291;Warnsveld;4525;17;0,38%;6916;4542;65,67%;0;1081;0;1161;0;641;0;0;1642;0;0;0
;629;Wassenaar;12318;16;0,13%;19440;12334;63,45%;0;3526;1131;6459;586;616;0;0;0;0;0;0
;630;Wateringen;6713;37;0,55%;12053;6750;56,00%;0;3158;1008;2017;0;530;0;0;0;0;0;0
;852;Waterland;8970;28;0,31%;13228;8998;68,02%;2812;2435;1235;1213;1275;0;0;0;0;0;0;0
;988;Weert;22060;33;0,15%;37627;22093;58,72%;6927;5639;3565;3550;0;1176;0;1203;0;0;0;0
;457;Weesp;8165;24;0,29%;14147;8189;57,89%;0;1920;1018;1777;1137;449;0;0;0;0;0;1864
;292;Wehl;3265;5;0,15%;5128;3270;63,77%;855;1025;1385;0;0;0;0;0;0;0;0;0
;870;Werkendam;12839;11;0,09%;19628;12850;65,47%;3760;2603;2263;1140;0;0;1303;0;0;1770;0;0
;459;Wervershoof;4253;16;0,38%;6252;4269;68,28%;1707;899;0;1019;0;0;0;0;628;0;0;0
;668;West Maas en Waal;10558;7;0,07%;14156;10565;74,63%;6265;2050;1101;1142;0;0;0;0;0;0;0;0
;558;Wester-Koggenland;6925;11;0,16%;10227;6936;67,82%;2366;2565;773;1221;0;0;0;0;0;0;0;0
;1701;Westerveld;9773;9;0,09%;14953;9782;65,42%;2471;1644;2382;1947;0;0;0;0;1329;0;0;0
;293;Westervoort;6028;21;0,35%;11852;6049;51,04%;0;1455;1708;1307;838;720;0;0;0;0;0;0
;98;Weststellingwerf;11244;22;0,20%;19743;11266;57,06%;2778;2683;2693;2161;929;0;0;0;0;0;0;0
;614;Westvoorne;6865;12;0,17%;11162;6877;61,61%;1610;1296;1461;1891;0;607;0;0;0;0;0;0
;189;Wierden;11971;4;0,03%;17455;11975;68,60%;2314;5382;0;0;0;0;2295;0;1980;0;0;0
;462;Wieringen;3967;3;0,08%;6537;3970;60,73%;1659;580;834;894;0;0;0;0;0;0;0;0
;463;Wieringermeer;5607;10;0,18%;9560;5617;58,76%;821;1560;743;1395;0;0;406;0;682;0;0;0
;296;Wijchen;17620;37;0,21%;29379;17657;60,10%;7077;4448;3052;1945;615;0;0;483;0;0;0;0
;352;Wijk bij Duurstede;10233;14;0,14%;17057;10247;60,08%;1552;1995;1411;2400;1992;0;0;0;0;0;883;0
;52;Winschoten;7794;18;0,23%;14783;7812;52,84%;0;1286;2638;1332;1227;829;482;0;0;0;0;0
;53;Winsum;7359;14;0,19%;10350;7373;71,24%;1512;1750;1341;861;782;357;756;0;0;0;0;0
;294;Winterswijk;13320;36;0,27%;22342;13356;59,78%;0;2955;3584;4622;0;689;0;0;1470;0;0;0
;295;Wisch;9088;21;0,23%;15332;9109;59,41%;3282;3279;1743;784;0;0;0;0;0;0;0;0
;873;Woensdrecht;9507;5;0,05%;16597;9512;57,31%;3465;2275;1270;1254;0;1243;0;0;0;0;0;0
;466;Wognum;3938;5;0,13%;5953;3943;66,24%;0;1783;458;734;0;963;0;0;0;0;0;0
;880;Wormerland;7566;14;0,19%;11871;7580;63,85%;1841;1372;1046;1139;1757;411;0;0;0;0;0;0
;351;Woudenberg;6012;4;0,07%;8023;6016;74,98%;2059;873;502;583;0;0;906;0;0;1089;0;0
;874;Woudrichem;7088;18;0,25%;10862;7106;65,42%;1108;2325;1583;791;0;0;944;0;0;337;0;0
;710;Wûnseradiel;6128;7;0,11%;8844;6135;69,37%;545;1996;1083;941;691;872;0;0;0;0;0;0
;683;Wymbritseradiel;8312;9;0,11%;11809;8321;70,46%;3932;2627;822;611;0;0;320;0;0;0;0;0
;479;Zaanstad;56222;78;0,14%;105807;56300;53,21%;18679;6865;8855;9062;5622;1910;1554;3675;0;0;0;0
;297;Zaltbommel;12990;11;0,08%;19074;13001;68,16%;0;2296;2571;3022;968;643;1480;0;0;2010;0;0
;473;Zandvoort;7100;19;0,27%;13681;7119;52,04%;2865;1467;1061;1707;0;0;0;0;0;0;0;0
;707;Zederik;7622;22;0,29%;10468;7644;73,02%;1244;2344;976;999;0;0;872;0;0;1187;0;0
;478;Zeevang;3331;16;0,48%;4787;3347;69,92%;1279;355;661;1036;0;0;0;0;0;0;0;0
;50;Zeewolde;8303;7;0,08%;12310;8310;67,51%;3143;1333;728;1606;331;0;1162;0;0;0;0;0
;355;Zeist;27448;46;0,17%;46574;27494;59,03%;5291;4247;3389;5463;2809;2090;0;2052;0;0;2107;0
;298;Zelhem;4411;46;1,04%;8769;4457;50,83%;0;1617;1315;1136;0;0;0;0;0;0;343;0
;299;Zevenaar;10916;45;0,41%;20629;10961;53,13%;0;4033;2813;1927;0;888;0;1255;0;0;0;0
;1666;Zevenhuizen-Moerkapelle;5262;5;0,10%;7378;5267;71,39%;1164;859;956;891;0;0;553;0;0;839;0;0
;476;Zijpe;5190;9;0,17%;8699;5199;59,77%;1788;1542;1101;759;0;0;0;0;0;0;0;0
;637;Zoetermeer;45212;107;0,24%;83119;45319;54,52%;402;6936;7204;10527;2174;7911;0;7411;0;0;2647;0
;638;Zoeterwoude;4011;18;0,45%;6433;4029;62,63%;0;2057;0;599;0;0;0;0;1355;0;0;0
;56;Zuidhorn;9724;39;0,40%;13218;9763;73,86%;0;3120;2075;1396;1167;0;1966;0;0;0;0;0
;879;Zundert;9530;12;0,13%;15543;9542;61,39%;4491;2008;1219;1812;0;0;0;0;0;0;0;0
;301;Zutphen;15884;35;0,22%;27771;15919;57,32%;2259;2817;4281;2389;1605;1145;0;1388;0;0;0;0
;193;Zwolle;47825;82;0,17%;84168;47907;56,92%;6808;9111;7751;6126;0;1742;6225;2517;7545;0;0;0
