Partij;# Stemmen;Percentage;# Zetels
CDA;2264694;32,28%;0
PvdA;1704275;24,29%;0
VVD;988322;14,09%;0
RK;582107;8,30%;0
Overige;392192;5,59%;0
D66;259451;3,70%;0
PAK;253306;3,61%;0
SGP;163673;2,33%;0
CPN;133444;1,90%;0
PPR;74107;1,06%;0
PSP;65279;0,93%;0
GPV;60303;0,86%;0
PC;22515;0,32%;0
GG;19613;0,28%;0
PCG;15792;0,23%;0
BP;5854;0,08%;0;;;;;;;;;;;;;;;;;;;;;;
DS70;3011;0,04%;0;;;;;;;;;;;;;;;;;;;;;;
