Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;PvdA;CDA;VVD;Onafhankelijk;PAK;D66;PCG;Overige;SGP;GPV;PSP;CPN;RPF;GG;RK;PPR;PC
10265;868;Wanroij;3057;8;0,26%;3448;3065;88,89%;0;1227;0;1830;0;0;0;0;0;0;0;0;0;0;0;0;0
10498;49;Warffum;1507;15;1,00%;1747;1522;87,12%;846;396;265;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10221;456;Warmenhuizen;2355;9;0,38%;3033;2364;77,94%;665;1152;538;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10204;628;Warmond;2924;24;0,82%;3889;2948;75,80%;0;1124;762;0;1038;0;0;0;0;0;0;0;0;0;0;0;0
10838;291;Warnsveld;5464;23;0,42%;6923;5487;79,26%;1819;1677;908;1060;0;0;0;0;0;0;0;0;0;0;0;0;0
10402;869;Waspik;2817;10;0,35%;3373;2827;83,81%;0;609;0;2208;0;0;0;0;0;0;0;0;0;0;0;0;0
10164;629;Wassenaar;15248;26;0,17%;19499;15274;78,33%;2340;4763;6723;656;0;766;0;0;0;0;0;0;0;0;0;0;0
11329;630;Wateringen;7702;4;0,05%;10963;7706;70,29%;1493;4284;1925;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10893;188;Weerselo;5548;25;0,45%;6209;5573;89,76%;461;3932;0;1155;0;0;0;0;0;0;0;0;0;0;0;0;0
11081;988;Weert;20728;141;0,68%;30146;20869;69,23%;4249;5656;2547;8276;0;0;0;0;0;0;0;0;0;0;0;0;0
10773;457;Weesp;10102;59;0,58%;14323;10161;70,94%;3398;2459;2549;0;0;1026;0;0;0;0;670;0;0;0;0;0;0
11116;292;Wehl;3480;16;0,46%;4698;3496;74,41%;421;1497;0;1562;0;0;0;0;0;0;0;0;0;0;0;0;0
10078;870;Werkendam;9621;76;0,79%;12518;9697;77,46%;2665;3797;1151;0;0;0;0;0;1608;0;0;0;400;0;0;0;0
11270;459;Wervershoof;4053;14;0,35%;5155;4067;78,89%;0;1410;548;1435;660;0;0;0;0;0;0;0;0;0;0;0;0
10127;989;Wessem;1449;17;1,17%;1657;1466;88,47%;0;0;0;1449;0;0;0;0;0;0;0;0;0;0;0;0;0
10042;668;West Maas en Waal;10456;43;0,41%;12597;10499;83,35%;1799;2492;1069;5096;0;0;0;0;0;0;0;0;0;0;0;0;0
11095;134;Westerbork;4784;14;0,29%;5555;4798;86,37%;2281;1236;1267;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11041;871;Westerhoven;1144;4;0,35%;1248;1148;91,99%;0;0;0;1144;0;0;0;0;0;0;0;0;0;0;0;0;0
10354;558;Wester-Koggenland;7020;33;0,47%;8987;7053;78,48%;1426;2920;1364;1310;0;0;0;0;0;0;0;0;0;0;0;0;0
10701;725;Westerschouwen;3338;16;0,48%;4110;3354;81,61%;1034;840;1146;0;0;0;318;0;0;0;0;0;0;0;0;0;0
11085;293;Westervoort;6574;22;0,33%;9285;6596;71,04%;2909;2244;979;0;442;0;0;0;0;0;0;0;0;0;0;0;0
10931;726;Westkapelle;1779;10;0,56%;2006;1789;89,18%;620;474;374;0;0;0;0;0;311;0;0;0;0;0;0;0;0
11322;98;Weststellingerwerf;14684;59;0,40%;18420;14743;80,04%;6495;3480;2465;1380;362;502;0;0;0;0;0;0;0;0;0;0;0
10009;614;Westvoorne;8008;30;0,37%;10241;8038;78,49%;2076;1447;2424;1738;0;323;0;0;0;0;0;0;0;0;0;0;0
10676;189;Wierden;13253;47;0,35%;15403;13300;86,35%;2343;7231;0;341;0;0;0;0;538;0;0;0;975;1825;0;0;0
11277;462;Wieringen;4829;27;0,56%;6123;4856;79,31%;1741;699;1437;387;0;0;0;0;0;0;0;565;0;0;0;0;0
