Partij;# Stemmen;Percentage;# Zetels
PvdA;1514592;26,08%;0
KVP;1292224;22,25%;0
VVD;675849;11,64%;0
RK;633011;10,90%;0
PCG;484268;8,34%;0
ARP;303099;5,22%;0
CHU;301870;5,20%;0
CPN;194134;3,34%;0
Overige partijen;162743;2,80%;0
SGP;72367;1,25%;0
PSP;55125;0,95%;0
GG;51712;0,89%;0
GPV;36937;0,64%;0
PC;28517;0,49%;0
