Partij;# Stemmen;Percentage;# Zetels
CDA;1639859;21,59%;0
PvdA;1283611;16,90%;0
LOG;1248721;16,44%;0
VVD;1174334;15,46%;0
D66;838256;11,04%;0
GL;421792;5,55%;0
LCG;231002;3,04%;0
CD;158688;2,09%;0
SP;153230;2,02%;0
LPG;139205;1,83%;0
SGP;101230;1,33%;0
Overige landelijke partijen;67540;0,89%;0
GPV;53987;0,71%;0
RPF;48094;0,63%;0
CP86;36445;0,48%;0
