Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;CDA;PvdA;LOG;VVD;GL;D66;LCG;SP;LPG;SGP;RPF;Overig;GPV;CD;CP86
10819;196;Rijnwaarden;5071;17;0,34%;8509;5088;59,80%;1132;580;3359;0;0;0;0;0;0;0;0;0;0;0;0
11257;1672;Rijnwoude;9210;25;0,27%;14369;9235;64,27%;2781;2019;0;2110;0;1010;1290;0;0;0;0;0;0;0;0
10358;178;Rijssen;15871;9;0,06%;18323;15880;86,67%;3293;3113;0;1150;0;0;0;0;0;4942;3373;0;0;0;0
11133;603;Rijswijk;24190;129;0,53%;39632;24319;61,36%;3228;3154;9544;5114;1517;1245;388;0;0;0;0;0;0;0;0
10196;1669;Roerdalen;6022;16;0,27%;8179;6038;73,82%;2345;406;2759;512;0;0;0;0;0;0;0;0;0;0;0
11313;957;Roermond;18886;94;0,50%;34038;18980;55,76%;3716;2629;4603;4616;2613;709;0;0;0;0;0;0;0;0;0
10505;1670;Roggel en Neer;4587;8;0,17%;6331;4595;72,58%;977;0;696;0;0;0;0;0;2914;0;0;0;0;0;0
10407;1674;Roosendaal;23675;44;0,19%;56148;23719;42,24%;5607;1824;9788;2948;0;583;0;841;2084;0;0;0;0;0;0
10345;599;Rotterdam;218990;3872;1,77%;450616;222862;49,46%;26396;65965;17920;39749;16839;12674;7809;17677;0;0;0;8104;0;3421;2436
11314;600;Rozenburg;5761;21;0,36%;10607;5782;54,51%;1179;1055;2101;837;0;589;0;0;0;0;0;0;0;0;0
10684;277;Rozendaal;811;3;0,37%;965;814;84,35%;0;0;680;0;0;0;0;0;131;0;0;0;0;0;0
11152;840;Rucphen;10552;19;0,18%;17875;10571;59,14%;2157;781;4310;2852;0;452;0;0;0;0;0;0;0;0;0
10879;278;Ruurlo;4154;2;0,05%;6280;4156;66,18%;984;891;795;1484;0;0;0;0;0;0;0;0;0;0;0
11405;704;Sas van Gent;3857;29;0,75%;6924;3886;56,12%;831;756;1045;664;0;561;0;0;0;0;0;0;0;0;0
10612;604;Sassenheim;6899;38;0,55%;11068;6937;62,68%;2489;1615;0;2072;0;723;0;0;0;0;0;0;0;0;0
