Partij;# Stemmen;Percentage;# Zetels
PvdA;1712423;28,21%;0
KVP;1273294;20,97%;0
RK;747761;12,32%;0
PCG;523339;8,62%;0
VVD;506909;8,35%;0
CHU;292679;4,82%;0
ARP;284454;4,69%;0
Overige;180242;2,97%;0
CPN;172549;2,84%;0
PSP;171219;2,82%;0
SGP;90338;1,49%;0
GG;57137;0,94%;0
GPV;32259;0,53%;0
PC;26661;0,44%;0
