Partij;# Stemmen;Percentage;# Zetels
PvdA;1476649;22,16%;0
KVP;1270838;19,07%;0
RK;864502;12,97%;0
VVD;600395;9,01%;0
PCG;574340;8,62%;0
BP;381068;5,72%;0
CHU;318017;4,77%;0
ARP;283374;4,25%;0
Overige;236967;3,56%;0
PSP;231810;3,48%;0
CPN;205123;3,08%;0
SGP;92224;1,38%;0
GG;59182;0,89%;0
GPV;38363;0,58%;0
PC;30734;0,46%;0
