Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;CDA;PvdA;VVD;Onafhankelijk;PAK;D66;PCG;CPN;SGP;PSP;PPR;GPV;Overige;RPF;RK;GG;PC
10658;347;Vleuten-de Meern;9211;46;0,50%;11411;9257;81,12%;3803;0;2660;1126;1138;305;0;0;0;0;0;179;0;0;0;0;0
11293;864;Vlijmen;7263;58;0,80%;9545;7321;76,70%;1367;587;612;3884;813;0;0;0;0;0;0;0;0;0;0;0;0
10270;718;Vlissingen;19778;93;0,47%;33303;19871;59,67%;5171;6577;4664;0;1093;1078;0;0;0;0;0;0;0;0;0;0;1195
11174;623;Vlist;411;3;0,73%;448;414;92,41%;103;0;0;154;0;0;0;0;0;0;0;0;0;0;0;0;154
10644;985;Vlodrop;1423;23;1,62%;1593;1446;90,77%;485;0;0;938;0;0;0;0;0;0;0;0;0;0;0;0;0
11103;624;Voorburg;23325;99;0,42%;33136;23424;70,69%;5749;3714;8833;1803;1067;1517;557;0;0;0;0;0;85;0;0;0;0
10017;625;Voorhout;3625;16;0,44%;4636;3641;78,54%;1353;208;778;819;0;0;0;0;0;0;467;0;0;0;0;0;0
10537;626;Voorschoten;11579;55;0,47%;15340;11634;75,84%;3569;0;4409;0;1887;1014;0;0;0;340;0;0;70;0;0;0;290
10912;285;Voorst;12202;41;0,34%;16452;12243;74,42%;4763;2281;2543;1962;0;402;0;0;251;0;0;0;0;0;0;0;0
10957;286;Vorden;4140;18;0,43%;5411;4158;76,84%;1848;1073;1219;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10630;133;Vries;5440;24;0,44%;6803;5464;80,32%;766;1904;0;0;337;344;0;0;0;0;0;101;0;0;0;1988;0
10643;186;Vriezenveen;9532;34;0,36%;11923;9566;80,23%;3771;1399;807;1552;0;212;0;0;432;0;0;0;0;1050;0;0;309
11224;865;Vught;12204;47;0,39%;17055;12251;71,83%;3679;911;2057;4466;817;274;0;0;0;0;0;0;0;0;0;0;0
11376;287;Vuren;1707;14;0,82%;1986;1721;86,66%;753;578;376;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10959;866;Waalre;7154;42;0,59%;10271;7196;70,06%;2687;788;2150;754;0;542;0;0;0;233;0;0;0;0;0;0;0
11359;867;Waalwijk;12384;50;0,40%;19729;12434;63,02%;4039;1501;2598;3083;709;454;0;0;0;0;0;0;0;0;0;0;0
10081;627;Waddinxveen;10558;40;0,38%;14683;10598;72,18%;2601;2251;2552;0;0;600;2114;0;0;336;0;104;0;0;0;0;0
11010;289;Wageningen;17518;71;0,41%;24324;17589;72,31%;3764;4241;3219;564;2634;1340;864;0;0;0;0;0;892;0;0;0;0
10042;290;Wamel;5144;36;0,70%;6887;5180;75,21%;1274;853;608;2409;0;0;0;0;0;0;0;0;0;0;0;0;0
10265;868;Wanroij;2764;9;0,33%;3200;2773;86,66%;0;0;0;2764;0;0;0;0;0;0;0;0;0;0;0;0;0
10498;49;Warffum;1463;9;0,62%;1742;1472;84,50%;424;740;299;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10221;456;Warmenhuizen;2034;7;0,34%;2784;2041;73,31%;953;423;389;269;0;0;0;0;0;0;0;0;0;0;0;0;0
10204;628;Warmond;2672;17;0,64%;3741;2689;71,88%;989;0;816;0;867;0;0;0;0;0;0;0;0;0;0;0;0
10838;291;Warnsveld;4389;14;0,32%;5910;4403;74,50%;1411;970;1050;757;0;0;0;0;0;0;201;0;0;0;0;0;0
10402;869;Waspik;2493;22;0,88%;3097;2515;81,21%;525;0;136;1832;0;0;0;0;0;0;0;0;0;0;0;0;0
10164;629;Wassenaar;14405;6;0,04%;19209;14411;75,02%;3740;1588;6592;1705;0;780;0;0;0;0;0;0;0;0;0;0;0
11329;630;Wateringen;6352;3;0,05%;9582;6355;66,32%;3620;779;1636;0;0;317;0;0;0;0;0;0;0;0;0;0;0
10893;188;Weerselo;4996;46;0,92%;5977;5042;84,36%;0;0;0;1107;0;0;0;0;0;0;0;0;0;0;3889;0;0
11081;988;Weert;18686;132;0,71%;27412;18818;68,65%;5593;1778;2791;8524;0;0;0;0;0;0;0;0;0;0;0;0;0
