Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;CDA;PvdA;VVD;RK;Overige;D66;PAK;SGP;CPN;PPR;PSP;GPV;PC;GG;PCG;BP;DS70
11040;535;Hoogblokland;821;3;0,37%;899;824;91,66%;327;243;251;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10476;801;Hooge en Lage Mierde;1673;59;3,53%;2185;1732;79,27%;0;0;0;1673;0;0;0;0;0;0;0;0;0;0;0;0;0
11318;802;Hooge en Lage Zwaluwe;3059;24;0,78%;4000;3083;77,08%;1787;726;546;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10657;800;Hoogeloon c.a.;3665;19;0,52%;4808;3684;76,62%;0;0;290;3375;0;0;0;0;0;0;0;0;0;0;0;0;0
10839;118;Hoogeveen;21654;102;0,47%;27974;21756;77,77%;10361;6099;1931;0;819;0;0;333;716;448;149;721;0;0;0;77;0
10410;1083;Hoogezand-Sappemeer;17332;90;0,52%;24317;17422;71,65%;3302;7743;2716;0;0;0;1955;0;1170;0;0;446;0;0;0;0;0
10642;403;Hoogkarspel;2387;14;0,59%;3396;2401;70,70%;1386;446;0;0;526;0;0;0;29;0;0;0;0;0;0;0;0
11029;404;Hoogwoud;2272;3;0,13%;2877;2275;79,08%;911;514;366;0;481;0;0;0;0;0;0;0;0;0;0;0;0
11392;405;Hoorn;13219;64;0,48%;19343;13283;68,67%;4068;4425;2369;0;0;0;1598;0;418;341;0;0;0;0;0;0;0
10516;536;Hoornaar;865;2;0,23%;939;867;92,33%;358;0;132;0;375;0;0;0;0;0;0;0;0;0;0;0;0
11176;922;Horn;2192;8;0,36%;2750;2200;80,00%;0;0;0;2192;0;0;0;0;0;0;0;0;0;0;0;0;0
10607;254;Horssen;817;12;1,47%;872;829;95,07%;0;0;0;0;817;0;0;0;0;0;0;0;0;0;0;0;0
