Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;CDA;PvdA;LOG;VVD;D66;GL;LCG;CD;SP;LPG;SGP;Overige landelijke partijen;GPV;RPF;CP86
;628;Warmond;2672;13;0,49%;4008;2685;66,99%;1185;0;0;617;0;0;0;0;0;870;0;0;0;0;0
;291;Warnsveld;4668;23;0,49%;6672;4691;70,31%;1123;0;0;1235;930;0;0;0;0;1380;0;0;0;0;0
;869;Waspik;2753;19;0,69%;3700;2772;74,92%;864;227;986;676;0;0;0;0;0;0;0;0;0;0;0
;629;Wassenaar;13277;14;0,11%;19174;13291;69,32%;3528;1399;0;6631;1272;447;0;0;0;0;0;0;0;0;0
;630;Wateringen;7159;12;0,17%;11219;7171;63,92%;3218;721;0;1974;1246;0;0;0;0;0;0;0;0;0;0
;852;Waterland;9987;27;0,27%;13730;10014;72,94%;2145;1463;2857;1566;1141;815;0;0;0;0;0;0;0;0;0
;188;Weerselo;5468;38;0,69%;6729;5506;81,82%;3712;268;1488;0;0;0;0;0;0;0;0;0;0;0;0
;988;Weert;22217;122;0,55%;32066;22339;69,67%;5232;4402;7626;3348;0;0;0;897;712;0;0;0;0;0;0
;457;Weesp;8538;99;1,16%;13996;8637;61,71%;2252;1880;0;1998;2408;0;0;0;0;0;0;0;0;0;0
;292;Wehl;3427;19;0,55%;5159;3446;66,80%;1306;816;1305;0;0;0;0;0;0;0;0;0;0;0;0
;870;Werkendam;9342;18;0,19%;13764;9360;68,00%;3321;2351;0;1469;0;0;0;0;0;0;1471;0;0;730;0
;459;Wervershoof;4008;19;0,47%;5606;4027;71,83%;1213;0;1450;683;0;0;0;0;0;662;0;0;0;0;0
;668;West Maas en Waal;10018;56;0,56%;13585;10074;74,16%;1979;1331;5293;1043;372;0;0;0;0;0;0;0;0;0;0
;134;Westerbork;4877;6;0,12%;6041;4883;80,83%;1154;1590;1259;874;0;0;0;0;0;0;0;0;0;0;0
;871;Westerhoven;1106;3;0,27%;1385;1109;80,07%;0;0;1106;0;0;0;0;0;0;0;0;0;0;0;0
;558;Wester-Koggenland;6775;63;0,93%;9615;6838;71,12%;2515;733;2331;1196;0;0;0;0;0;0;0;0;0;0;0
;725;Westerschouwen;3484;16;0,46%;4810;3500;72,77%;860;977;0;1174;0;0;473;0;0;0;0;0;0;0;0
;293;Westervoort;6428;9;0,14%;11020;6437;58,41%;1631;1668;0;1297;1355;477;0;0;0;0;0;0;0;0;0
;726;Westkapelle;1681;7;0,42%;2077;1688;81,27%;423;540;0;374;0;0;0;0;0;0;344;0;0;0;0
;98;Weststellingwerf;12711;63;0,50%;18997;12774;67,24%;2642;2674;3537;2075;793;990;0;0;0;0;0;0;0;0;0
;614;Westvoorne;7462;42;0,56%;10865;7504;69,07%;956;1226;3301;1979;0;0;0;0;0;0;0;0;0;0;0
;189;Wierden;13005;50;0,38%;16974;13055;76,91%;5736;1581;1935;0;1138;0;0;0;0;0;399;0;0;2216;0
;462;Wieringen;4502;24;0,53%;6522;4526;69,40%;578;786;1915;1223;0;0;0;0;0;0;0;0;0;0;0
;463;Wieringermeer;6129;35;0,57%;8943;6164;68,93%;2114;771;1289;1219;0;0;0;0;0;736;0;0;0;0;0
;296;Wijchen;16511;34;0,21%;26751;16545;61,85%;4555;2433;5898;1842;1783;0;0;0;0;0;0;0;0;0;0
;190;Wijhe;4036;8;0,20%;5603;4044;72,18%;1659;1317;508;552;0;0;0;0;0;0;0;0;0;0;0
;352;Wijk bij Duurstede;7510;37;0,49%;11978;7547;63,01%;1429;937;703;1347;903;2191;0;0;0;0;0;0;0;0;0
;872;Willemstad;1935;15;0,78%;2588;1950;75,35%;781;0;0;429;189;0;0;0;0;536;0;0;0;0;0
;52;Winschoten;9677;91;0,94%;15098;9768;64,70%;1636;3685;356;1170;1218;1222;0;0;0;0;0;390;0;0;0
;53;Winsum;7412;24;0,32%;9700;7436;76,66%;1946;1883;0;1103;1028;781;0;0;0;0;0;0;671;0;0
;294;Winterswijk;14856;77;0,52%;21739;14933;68,69%;3408;4295;0;3680;1597;0;0;0;0;1876;0;0;0;0;0
;295;Wisch;10157;35;0,34%;15511;10192;65,71%;2313;1760;4805;1279;0;0;0;0;0;0;0;0;0;0;0
;990;Wittem;5269;47;0,89%;6140;5316;86,58%;1199;417;3311;342;0;0;0;0;0;0;0;0;0;0;0
;873;Woensdrecht;5037;28;0,56%;7919;5065;63,96%;1109;668;2454;806;0;0;0;0;0;0;0;0;0;0;0
;632;Woerden;18014;90;0,50%;26359;18104;68,68%;6039;2353;0;3515;2863;1127;0;0;0;0;953;0;0;1164;0
;466;Wognum;3799;13;0,34%;5399;3812;70,61%;1832;397;0;834;736;0;0;0;0;0;0;0;0;0;0
;880;Wormerland;7597;34;0,45%;11231;7631;67,95%;1718;1570;728;1240;988;1353;0;0;0;0;0;0;0;0;0
;351;Woudenberg;5826;2;0,03%;7652;5828;76,16%;1004;634;1843;621;0;0;849;0;0;0;875;0;0;0;0
;874;Woudrichem;7312;16;0,22%;10264;7328;71,40%;2180;1870;1051;883;0;0;858;0;0;0;470;0;0;0;0
;875;Wouw;4604;35;0,76%;6564;4639;70,67%;1304;578;2149;573;0;0;0;0;0;0;0;0;0;0;0
;710;Wunseradiel;5989;40;0,67%;8367;6029;72,06%;2214;1363;811;700;570;260;0;0;0;0;0;71;0;0;0
;683;Wymbritseradiel;7876;7;0,09%;10844;7883;72,69%;2953;918;2610;922;473;0;0;0;0;0;0;0;0;0;0
