Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;CDA;PvdA;LOG;VVD;D66;GL;LCG;CD;SP;LPG;SGP;Overige landelijke partijen;GPV;RPF;CP86
;479;Zaanstad;60510;227;0,38%;102946;60737;59,00%;7649;13233;10838;9826;8322;7227;1233;0;0;0;265;1917;0;0;0
;297;Zaltbommel;5169;11;0,21%;7782;5180;66,56%;1155;1434;0;707;1070;803;0;0;0;0;0;0;0;0;0
;473;Zandvoort;7774;71;0,91%;13057;7845;60,08%;1368;1440;1860;1671;1435;0;0;0;0;0;0;0;0;0;0
;707;Zederik;8123;29;0,36%;9833;8152;82,90%;2001;1078;2213;870;0;0;0;0;0;0;1101;0;0;860;0
;478;Zeevang;3330;14;0,42%;4577;3344;73,06%;312;505;1112;1033;0;368;0;0;0;0;0;0;0;0;0
;50;Zeewolde;5868;21;0,36%;8143;5889;72,32%;1160;799;0;2170;1039;0;700;0;0;0;0;0;0;0;0
;355;Zeist;29800;82;0,28%;46293;29882;64,55%;4740;4116;4339;6399;4654;2941;1627;0;0;0;0;0;0;984;0
;298;Zelhem;5895;33;0,56%;8861;5928;66,90%;1724;1208;1475;1088;0;0;400;0;0;0;0;0;0;0;0
;299;Zevenaar;12543;51;0,41%;20785;12594;60,59%;3730;2583;2823;1571;1836;0;0;0;0;0;0;0;0;0;0
;878;Zevenbergen;7409;63;0,85%;12587;7472;59,36%;2411;1848;1534;1616;0;0;0;0;0;0;0;0;0;0;0
;1666;Zevenhuizen-Moerkapelle;5578;20;0,36%;7444;5598;75,20%;929;0;1466;844;0;0;1280;0;0;1059;0;0;0;0;0
;732;Zierikzee;5272;31;0,59%;7887;5303;67,24%;1200;1556;0;956;902;0;658;0;0;0;0;0;0;0;0
;476;Zijpe;5400;23;0,43%;8397;5423;64,58%;1354;1301;1668;1077;0;0;0;0;0;0;0;0;0;0;0
;637;Zoetermeer;48137;88;0,18%;75104;48225;64,21%;5920;6732;0;10365;8443;2029;1671;1919;9682;0;863;513;0;0;0
;638;Zoeterwoude;4180;29;0,69%;6339;4209;66,40%;1715;0;0;1024;0;0;0;0;0;1441;0;0;0;0;0
;56;Zuidhorn;9885;41;0,41%;12593;9926;78,82%;2544;1675;0;1719;1187;699;0;0;0;0;0;0;2061;0;0
;136;Zuidlaren;6209;33;0,53%;8523;6242;73,24%;981;1319;0;1798;855;698;558;0;0;0;0;0;0;0;0
;137;Zuidwolde;5802;37;0,64%;7433;5839;78,56%;1542;870;1270;1449;398;0;0;0;0;0;0;0;273;0;0
;879;Zundert;7305;74;1,01%;10929;7379;67,52%;2336;0;3876;1093;0;0;0;0;0;0;0;0;0;0;0
;301;Zutphen;15737;98;0,62%;24396;15835;64,91%;2834;4318;1308;2245;2566;1629;0;0;837;0;0;0;0;0;0
;192;Zwartsluis;2572;11;0,43%;3338;2583;77,38%;909;651;0;449;0;0;563;0;0;0;0;0;0;0;0
;138;Zweeloo;1843;8;0,43%;2268;1851;81,61%;416;731;0;696;0;0;0;0;0;0;0;0;0;0;0
;642;Zwijndrecht;21229;33;0,16%;32785;21262;64,85%;5020;3598;0;3537;3759;1006;2617;1692;0;0;0;0;0;0;0
;193;Zwolle;49924;104;0,21%;76868;50028;65,08%;8414;10003;6931;6237;5655;4169;0;0;0;0;0;1253;2780;2909;1573
