Partij;# Stemmen;Percentage;# Zetels
CDA;1421976;20,38%;0
PvdA;1300695;18,64%;0
LOG;1278316;18,32%;0
VVD;1225707;17,57%;0
GL;426636;6,11%;0
D66;391739;5,61%;0
LCG;242726;3,48%;0
SP;228901;3,28%;0
LPG;182839;2,62%;0
SGP;105430;1,51%;0
RPF;53725;0,77%;0
Overig;47487;0,68%;0
GPV;44157;0,63%;0
CD;22282;0,32%;0
CP86;4354;0,06%;0
