Partij;# Stemmen;Percentage;# Zetels
PvdA;2271122;28,97%;0
CDA;2192065;27,96%;0
VVD;1258127;16,05%;0
Onafhankelijk;914377;11,66%;0
PAK;356195;4,54%;0
D66;281396;3,59%;0
PCG;132312;1,69%;0
Overige;124600;1,59%;0
SGP;102485;1,31%;0
GPV;52749;0,67%;0
PSP;31215;0,40%;0
CPN;31051;0,40%;0
RPF;30374;0,39%;0
GG;21483;0,27%;0
RK;16443;0,21%;0
PPR;12501;0,16%;0
PC;10311;0,13%;0
