Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;CDA;PvdA;VVD;D66;GL;SGP;SP;GPV;CD;RPF
;117;Havelte;3505;15;0,43%;4618;3520;76,22%;528;1358;738;0;0;0;0;0;0;0
;245;Hedel;2285;15;0,66%;2865;2300;80,28%;891;244;278;0;0;250;0;0;0;0
;1937;Heel;4398;19;0,43%;6397;4417;69,05%;857;264;141;0;0;0;0;0;0;0
;396;Heemskerk;14499;66;0,46%;25904;14565;56,23%;5358;3715;2066;1852;1508;0;0;0;0;0
;397;Heemstede;14490;52;0,36%;20893;14542;69,60%;4436;2334;4952;2768;0;0;0;0;0;0
;246;Heerde;10384;28;0,27%;13713;10412;75,93%;3445;3015;1031;0;0;0;0;0;0;0
;74;Heerenveen;19819;92;0,46%;29510;19911;67,47%;4518;7171;2565;2477;1765;0;0;0;0;0
;247;Heerewaarden;727;6;0,83%;887;733;82,64%;0;343;134;0;0;0;0;0;0;0
;398;Heerhugowaard;14067;51;0,36%;25468;14118;55,43%;4288;3078;1980;2434;0;0;0;0;0;0
;526;Heerjansdam;1777;11;0,62%;2629;1788;68,01%;759;462;262;0;0;0;0;0;0;0
;917;Heerlen;41945;224;0,53%;75256;42169;56,03%;15019;8077;2910;2555;2445;0;3499;0;0;0
;791;Heesch;5446;27;0,50%;8427;5473;64,95%;1867;639;332;0;0;0;867;0;0;0
;792;Heeswijk-Dinther;4668;23;0,49%;6242;4691;75,15%;2180;446;0;0;0;0;0;0;0;0
;793;Heeze;5139;15;0,29%;7108;5154;72,51%;1841;924;568;0;0;0;0;0;0;0
;19;Hefshuizen;9004;24;0,27%;12310;9028;73,34%;2535;3241;764;0;272;0;0;950;0;0
;399;Heiloo;11432;34;0,30%;16069;11466;71,35%;3477;1578;3184;1249;663;0;0;0;0;0
;162;Heino;4062;15;0,37%;5324;4077;76,58%;2261;1027;507;0;0;0;0;0;0;0
;918;Helden;8393;50;0,60%;13259;8443;63,68%;4861;974;507;0;0;0;0;0;0;0
;163;Hellendoorn;19674;40;0,20%;25656;19714;76,84%;10516;0;1142;1117;0;0;0;0;0;0
;530;Hellevoetsluis;13595;57;0,42%;24752;13652;55,16%;2054;3449;3090;2126;1665;0;0;0;0;0
;794;Helmond;25600;57;0,22%;52058;25657;49,29%;10066;5933;2686;2020;1070;0;1205;0;0;0
;795;Helvoirt;2641;16;0,61%;3468;2657;76,61%;620;0;281;0;0;0;0;0;0;0
;531;Hendrik-Ido-Ambacht;9478;0;0,00%;14362;9478;65,99%;2365;1782;1350;881;0;1773;0;0;0;0
;248;Hengelo (Gld);4638;13;0,28%;6361;4651;73,12%;2707;1301;630;0;0;0;0;0;0;0
;164;Hengelo (Ov);38807;134;0,35%;59018;38941;65,98%;13139;10466;3885;4402;1960;0;1524;0;0;0
;63;het Bildt;5416;18;0,33%;7481;5434;72,64%;2199;1701;601;0;0;0;0;0;0;0
;251;Heteren;4051;9;0,22%;6345;4060;63,99%;1360;852;393;0;0;262;0;0;0;0
;252;Heumen;6878;5;0,07%;10020;6883;68,69%;2499;1124;786;0;652;0;0;0;0;0
;797;Heusden;2775;18;0,65%;4241;2793;65,86%;573;459;0;0;0;0;0;0;0;0
;920;Heythuysen;6190;52;0,84%;8535;6242;73,13%;3465;361;479;0;0;0;0;0;0;0
;534;Hillegom;9352;42;0,45%;15168;9394;61,93%;3654;1698;1696;933;633;0;0;0;0;0
;798;Hilvarenbeek;5448;15;0,28%;7459;5463;73,24%;2027;582;451;0;0;0;0;0;0;0
;402;Hilversum;40715;159;0,39%;68076;40874;60,04%;8138;8004;6407;4398;3199;0;952;0;0;0
;253;Hoevelaken;4423;17;0,38%;6204;4440;71,57%;1511;1276;973;0;0;0;0;0;0;0
;799;Hoeven;4125;36;0,87%;6352;4161;65,51%;865;442;575;0;0;0;0;0;0;0
;165;Holten;5576;14;0,25%;6861;5590;81,48%;1728;1334;869;0;0;0;0;0;0;0
;675;Hontenisse;5007;17;0,34%;6002;5024;83,71%;1310;398;0;0;0;0;0;0;0;0
;801;Hooge en Lage Mierde;2205;62;2,81%;2781;2267;81,52%;0;0;0;0;0;0;0;0;0;0
;802;Hooge en Lage Zwaluwe;3089;8;0,26%;4600;3097;67,33%;1270;880;939;0;0;0;0;0;0;0
;800;Hoogeloon c.a.;4279;21;0,49%;6095;4300;70,55%;1794;504;297;0;0;0;0;0;0;0
;118;Hoogeveen;22842;80;0,35%;33948;22922;67,52%;8864;6553;1720;1722;846;0;0;927;0;0
;18;Hoogezand-Sappemeer;15926;76;0,48%;26380;16002;60,66%;2163;4965;2357;1793;1336;0;0;0;0;0
;405;Hoorn;23518;116;0,49%;41956;23634;56,33%;5829;6350;4874;3881;2584;0;0;0;0;0
;923;Horst;8816;32;0,36%;13574;8848;65,18%;5914;1583;912;0;0;0;407;0;0;0
;321;Houten;12464;18;0,14%;17702;12482;70,51%;5021;1724;1650;1872;1234;0;0;0;0;0
;803;Huijbergen;1232;10;0,81%;1579;1242;78,66%;582;0;123;0;0;0;0;0;0;0
;255;Huissen;7755;23;0,30%;11369;7778;68,41%;2143;1160;1083;771;0;0;0;0;0;0
;406;Huizen;18340;19;0,10%;30478;18359;60,24%;4677;2835;3708;3111;1167;1154;0;0;0;0
;677;Hulst;10421;71;0,68%;14251;10492;73,62%;2595;1877;1066;0;0;0;0;0;0;0
;256;Hummelo en Keppel;2697;6;0,22%;3502;2703;77,18%;1048;725;586;338;0;0;0;0;0;0
;925;Hunsel;2874;48;1,67%;4272;2922;68,40%;989;0;0;0;0;0;0;0;0;0
;195;IJsselham;3005;10;0,33%;3896;3015;77,39%;1295;919;791;0;0;0;0;0;0;0
;191;IJsselmuiden;7258;20;0,28%;8945;7278;81,36%;2763;1086;498;0;0;0;0;0;0;948
;353;IJsselstein;9008;32;0,36%;15160;9040;59,63%;3105;1921;1444;1900;0;0;0;0;0;0
;645;Jacobswoude;5296;14;0,26%;8092;5310;65,62%;2667;0;789;310;0;181;0;0;0;0
;166;Kampen;18828;51;0,27%;24318;18879;77,63%;4412;3205;1719;1238;1110;1114;0;843;0;2661
;678;Kapelle;5432;16;0,29%;7712;5448;70,64%;1994;1135;743;0;0;689;0;0;0;0
;537;Katwijk;18285;18;0,10%;28930;18303;63,27%;6350;1585;1331;0;829;0;0;0;0;2348
;928;Kerkrade;25840;163;0,63%;41984;26003;61,94%;6534;6052;723;0;1949;0;524;0;0;0
;257;Kerkwijk;3417;6;0,18%;4432;3423;77,23%;1251;545;607;0;0;1014;0;0;0;0
;929;Kessel;2042;251;12,29%;2965;2293;77,34%;0;0;0;0;0;0;0;0;0;0
;258;Kesteren;4927;15;0,30%;6632;4942;74,52%;748;1164;253;0;0;1685;0;0;0;0
;804;Klundert;3346;9;0,27%;4966;3355;67,56%;1391;666;345;0;0;0;0;0;0;372
;79;Kollumerland c.a.;6555;18;0,27%;9082;6573;72,37%;3208;1495;440;0;0;0;0;0;0;0
;588;Korendijk;5258;16;0,30%;7396;5274;71,31%;1369;1204;918;0;0;1276;0;0;0;0
;682;Kortgene;2003;9;0,45%;2825;2012;71,22%;490;554;368;0;0;201;0;0;0;0
;542;Krimpen aan den IJssel;13855;38;0,27%;20638;13893;67,32%;2621;3741;2858;1861;0;0;0;0;0;0
;882;Landgraaf;22805;25;0,11%;31444;22830;72,61%;4987;3372;750;0;0;0;0;0;0;0
;415;Landsmeer;5525;17;0,31%;8119;5542;68,26%;675;1072;1313;1260;665;0;0;0;0;0
;325;Langbroek;1156;1;0,09%;1474;1157;78,49%;444;265;127;0;0;0;0;0;0;0
;416;Langedijk;8321;26;0,31%;14912;8347;55,98%;3056;1525;1386;474;881;0;0;0;0;0
;417;Laren (NH.);6472;2;0,03%;9513;6474;68,05%;1442;817;1878;500;394;0;0;0;0;0
;22;Leek;8977;37;0,41%;12730;9014;70,81%;2379;2751;1162;0;713;0;0;940;0;0
;805;Leende;2401;19;0,79%;3122;2420;77,51%;973;0;236;0;0;0;0;0;0;0
;545;Leerdam;9319;53;0,57%;14055;9372;66,68%;2205;2868;1070;0;0;961;0;0;0;1004
;326;Leersum;3965;15;0,38%;5214;3980;76,33%;1103;0;639;0;0;360;0;0;0;0
;80;Leeuwarden;42045;124;0,29%;67875;42169;62,13%;9836;15587;4947;5171;0;0;0;0;0;0
;81;Leeuwarderadeel;4993;17;0,34%;6792;5010;73,76%;1678;1966;612;0;0;0;0;0;0;0
;546;Leiden;48692;183;0,38%;88199;48875;55,41%;9471;12524;6990;8704;5049;0;2144;0;0;0
;547;Leiderdorp;11140;37;0,33%;17210;11177;64,94%;3120;1770;2809;2092;1055;294;0;0;0;0
;548;Leidschendam;16456;77;0,47%;25712;16533;64,30%;5466;2290;3447;2075;597;0;890;0;0;0
;995;Lelystad;21908;108;0,49%;40050;22016;54,97%;4130;6472;3976;4394;2204;0;0;0;0;0
;82;Lemsterland;6034;13;0,22%;8454;6047;71,53%;1763;1923;391;506;0;0;0;0;0;0
;327;Leusden;13666;41;0,30%;19677;13707;69,66%;4316;2180;2385;1707;0;0;0;0;0;0
;260;Lichtenvoorde;9313;37;0,40%;13432;9350;69,61%;5305;1304;747;0;0;0;0;0;0;0
;806;Liempde;2706;12;0,44%;3219;2718;84,44%;834;162;0;0;0;0;0;0;0;0
;261;Lienden;3625;16;0,44%;5041;3641;72,23%;929;1183;459;0;0;0;0;0;0;0
;807;Lieshout;3531;3;0,08%;4451;3534;79,40%;443;0;0;0;0;0;0;0;0;0
;694;Liesveld;5081;15;0,30%;6440;5096;79,13%;1424;1186;976;0;0;0;0;0;0;0
;418;Limmen;2868;12;0,42%;4107;2880;70,12%;1055;472;610;0;0;0;0;0;0;0
;733;Lingewaal;5299;5;0,09%;7584;5304;69,94%;2230;1849;0;0;0;389;0;0;0;0
;553;Lisse;10485;40;0,38%;15900;10525;66,19%;4888;0;2064;0;0;0;0;0;0;0
;808;Lith;4034;38;0,94%;4474;4072;91,01%;0;0;0;0;0;0;0;0;0;0
;140;Littenseradiel;5395;23;0,43%;7272;5418;74,50%;2193;1633;833;0;0;0;0;0;0;0
