Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;CDA;PvdA;VVD;D66;GL;SGP;SP;GPV;CD;RPF
;304;Neerijnen;5812;28;0,48%;7948;5840;73,48%;1783;2018;967;0;0;750;0;0;0;0
;412;Niedorp;4187;20;0,48%;7420;4207;56,70%;1264;1549;746;0;0;0;0;0;0;0
;356;Nieuwegein;22719;21;0,09%;42546;22740;53,45%;6621;5133;3656;4099;0;2061;0;0;0;0
;567;Nieuwerkerk aan den IJssel;8790;30;0,34%;13526;8820;65,21%;2235;1833;2096;1752;0;0;0;0;0;0
;817;Nieuw-Ginneken;6801;19;0,28%;9106;6820;74,90%;2646;789;737;0;0;0;0;0;0;0
;569;Nieuwkoop;5407;7;0,13%;7967;5414;67,96%;1649;1136;1166;550;0;0;0;0;0;0
;571;Nieuw-Lekkerland;4765;12;0,25%;6086;4777;78,49%;1028;1675;587;0;0;1475;0;0;0;0
;170;Nieuwleusen;4452;13;0,29%;6021;4465;74,16%;2023;0;505;0;0;0;0;0;0;0
;573;Nieuwveen;3167;8;0,25%;4870;3175;65,20%;1381;0;414;0;0;0;0;0;0;0
;818;Nieuw-Vossemeer;1386;10;0,72%;1756;1396;79,50%;0;0;0;0;0;0;0;0;0;0
;104;Nijefurd;6244;27;0,43%;7756;6271;80,85%;2171;915;648;0;768;0;0;0;0;0
;121;Nijeveen;1685;8;0,47%;2105;1693;80,43%;828;0;192;0;0;0;0;0;0;0
;267;Nijkerk;12674;33;0,26%;18463;12707;68,82%;5653;1965;1342;1216;0;0;0;0;0;0
;268;Nijmegen;64318;328;0,51%;117509;64646;55,01%;18387;17976;4774;8316;10452;0;3402;0;0;0
;819;Nistelrode;3697;21;0,57%;5224;3718;71,17%;1144;0;0;0;0;0;0;0;0;0
;529;Noorder-Koggenland;4757;23;0,48%;6933;4780;68,95%;1213;1242;874;0;0;0;0;0;0;0
;171;Noordoostpolder;18896;78;0,41%;27379;18974;69,30%;7128;4081;2560;2404;0;0;0;0;0;0
;575;Noordwijk;12218;47;0,38%;18991;12265;64,58%;3904;2199;2288;0;1290;0;0;0;0;0
;576;Noordwijkerhout;7866;31;0,39%;11320;7897;69,76%;3638;1138;1950;1140;0;0;0;0;0;0
;577;Nootdorp;3307;15;0,45%;4989;3322;66,59%;1676;669;962;0;0;0;0;0;0;0
;120;Norg;3792;17;0,45%;5132;3809;74,22%;639;1003;844;0;0;0;0;0;0;0
;820;Nuenen c.a.;10604;21;0,20%;15367;10625;69,14%;1385;0;931;785;0;0;0;0;0;0
;821;Nuland;2575;17;0,66%;3438;2592;75,39%;1058;0;0;0;0;0;0;0;0;0
;302;Nunspeet;14307;40;0,28%;17905;14347;80,13%;2901;1407;1094;0;0;3042;0;0;0;2787
;951;Nuth;11041;74;0,67%;13330;11115;83,38%;3115;1132;306;0;0;0;0;0;0;0
;429;Obdam;2901;11;0,38%;4228;2912;68,87%;1283;0;497;0;0;0;0;0;0;0
;122;Odoorn;6533;28;0,43%;9550;6561;68,70%;1295;2793;892;0;0;0;0;0;0;0
;822;Oeffelt;1458;16;1,10%;1686;1474;87,43%;327;0;0;0;0;0;0;0;0;0
;579;Oegstgeest;9614;38;0,40%;13915;9652;69,36%;2655;1429;2807;1675;1048;0;0;0;0;0
;823;Oirschot;6491;28;0,43%;8672;6519;75,17%;3360;1079;570;0;0;0;0;0;0;0
;824;Oisterwijk;9038;28;0,31%;14054;9066;64,51%;3144;1567;1260;0;657;0;0;0;0;0
;269;Oldebroek;10671;45;0,42%;15228;10716;70,37%;3037;2300;990;0;0;1818;0;0;0;0
;173;Oldenzaal;15589;56;0,36%;22500;15645;69,53%;5977;3325;1366;1640;0;0;0;0;0;0
;174;Olst;5392;23;0,43%;6959;5415;77,81%;1398;1634;848;0;0;0;0;0;0;0
;175;Ommen;10401;17;0,16%;13097;10418;79,54%;4765;1502;1330;1407;0;0;0;1397;0;0
;881;Onderbanken;5326;48;0,90%;6368;5374;84,39%;1177;583;0;0;0;0;0;0;0;0
;825;Oost- West- en Middelbee;2740;14;0,51%;3616;2754;76,16%;901;0;0;0;0;0;0;0;0;0
;692;Oostburg;9259;41;0,44%;14372;9300;64,71%;2245;2325;2148;0;0;0;0;0;0;0
;33;Oosterbroek;5900;26;0,44%;9099;5926;65,13%;696;3329;0;0;676;0;0;116;0;0
;123;Oosterhesselen;2851;9;0,32%;3662;2860;78,10%;712;839;452;0;0;0;0;0;0;0
;826;Oosterhout;21992;88;0,40%;36749;22080;60,08%;5858;3401;2400;2357;0;0;0;0;0;0
;580;Oostflakkee;5199;20;0,38%;7193;5219;72,56%;1103;1373;735;0;0;973;0;0;0;0
;85;Ooststellingwerf;12952;64;0,49%;18674;13016;69,70%;3520;5551;2279;0;1145;0;0;457;0;0
;431;Oostzaan;4368;20;0,46%;5911;4388;74,23%;591;1045;823;0;1652;0;0;0;0;0
;176;Ootmarsum;2584;5;0,19%;3230;2589;80,15%;1535;0;0;0;0;0;0;0;0;0
;827;Oploo c.a.;4299;22;0,51%;5373;4321;80,42%;2558;0;0;0;0;0;0;0;0;0
;432;Opmeer;4922;10;0,20%;7351;4932;67,09%;2224;1015;683;0;0;0;0;0;0;0
;86;Opsterland;14599;55;0,38%;19647;14654;74,59%;3079;4854;1277;814;821;0;0;1004;0;0
;828;Oss;22463;74;0,33%;39099;22537;57,64%;7997;4007;2355;2107;0;0;5997;0;0;0
;829;Ossendrecht;2890;19;0,66%;3933;2909;73,96%;759;482;437;0;0;0;0;0;0;0
;831;Oud en Nieuw Gastel;3213;29;0,90%;6199;3242;52,30%;1288;480;397;0;0;0;0;0;0;0
;584;Oud-Beijerland;10285;25;0,24%;14880;10310;69,29%;2754;2530;1727;1752;0;1522;0;0;0;0
;830;Oudenbosch;5491;45;0,82%;9367;5536;59,10%;1692;1465;839;0;0;0;0;0;0;0
;437;Ouder-Amstel;6211;40;0,64%;9393;6251;66,55%;2058;1055;1161;1937;0;0;0;0;0;0
;644;Ouderkerk;4515;20;0,44%;6045;4535;75,02%;1176;1232;1026;0;0;1081;0;0;0;0
;589;Oudewater;5315;28;0,53%;7057;5343;75,71%;2237;434;593;0;0;342;0;0;0;0
;590;Papendrecht;13029;32;0,25%;20852;13061;62,64%;3731;3274;1861;1397;735;0;0;0;0;0
;124;Peize;2946;25;0,85%;3845;2971;77,27%;191;837;337;300;0;0;0;0;0;0
;765;Pekela;6766;34;0,50%;10114;6800;67,23%;1260;3432;551;0;1350;0;0;0;0;173
;594;Pijnacker;9198;15;0,16%;12996;9213;70,89%;3707;1104;1804;1004;0;0;0;0;0;0
;956;Posterholt;7240;64;0,88%;8582;7304;85,11%;769;575;0;0;0;0;0;0;0;0
;832;Prinsenbeek;5587;29;0,52%;7919;5616;70,92%;2163;810;743;0;0;0;0;0;0;0
;439;Purmerend;23839;83;0,35%;44882;23922;53,30%;4142;6647;5066;4873;2253;0;0;0;858;0
;833;Putte;2061;33;1,60%;2764;2094;75,76%;548;211;227;158;0;0;0;0;0;0
;273;Putten;11195;26;0,23%;15386;11221;72,93%;3889;1134;1760;0;0;933;0;0;0;0
;177;Raalte;14226;21;0,15%;20015;14247;71,18%;8558;1793;1300;0;0;0;0;0;0;0
;834;Raamsdonk;6358;30;0,47%;10291;6388;62,07%;2471;971;742;0;461;0;0;0;0;0
;835;Ravenstein;4565;22;0,48%;6062;4587;75,67%;1503;589;258;0;0;0;0;0;0;0
;595;Reeuwijk;7028;13;0,18%;9276;7041;75,91%;1800;653;1223;0;0;0;0;0;0;0
;703;Reimerswaal;11038;34;0,31%;14118;11072;78,42%;2596;1989;967;0;0;3337;0;0;0;0
;274;Renkum;17976;58;0,32%;26930;18034;66,97%;5691;4468;3656;2570;0;0;0;0;0;0
;339;Renswoude;1949;1;0,05%;2614;1950;74,60%;1004;0;308;0;0;325;0;0;0;0
;836;Reusel;3829;16;0,42%;5716;3845;67,27%;1340;684;1278;0;0;0;0;0;0;0
;275;Rheden;24635;92;0,37%;36967;24727;66,89%;7124;7852;4459;3084;1639;0;0;477;0;0
;340;Rhenen;8691;38;0,44%;12627;8729;69,13%;2491;1918;1348;824;607;1503;0;0;0;0
;597;Ridderkerk;22430;55;0,25%;35838;22485;62,74%;5719;6345;2532;3161;646;0;0;0;0;0
;837;Riethoven;1427;11;0,77%;1758;1438;81,80%;0;0;146;0;0;0;0;0;0;0
;646;Rijneveld;9127;30;0,33%;14339;9157;63,86%;3881;1599;1483;1048;0;0;0;0;0;0
;602;Rijnsburg;6608;32;0,48%;9482;6640;70,03%;3699;1221;615;0;0;0;0;409;0;0
;196;Rijnwaarden;5215;23;0,44%;7717;5238;67,88%;800;685;167;0;0;0;0;0;0;0
;841;Rijsbergen;3140;15;0,48%;4318;3155;73,07%;1050;0;0;0;0;0;0;0;0;0
;178;Rijssen;14969;58;0,39%;16619;15027;90,42%;4463;3205;395;0;0;5086;0;0;0;1820
;603;Rijswijk;23999;107;0,45%;39582;24106;60,90%;6507;3779;4794;3519;1152;0;0;0;0;0
;125;Roden;10454;35;0,33%;14132;10489;74,22%;1755;2710;800;869;787;0;0;0;0;0
;957;Roermond;15806;153;0,97%;32625;15959;48,92%;5061;2237;2262;634;1944;0;0;0;0;0
;958;Roggel;4105;58;1,41%;5962;4163;69,83%;1694;0;0;0;0;0;0;0;0;0
;126;Rolde;3739;7;0,19%;4777;3746;78,42%;337;0;869;0;0;0;0;0;0;0
;838;Roosendaal en Nispen;24529;133;0,54%;46284;24662;53,28%;8551;3698;2619;1243;0;0;229;0;0;0
;839;Rosmalen;12231;29;0,24%;20205;12260;60,68%;3625;1688;1585;1222;0;0;1747;0;0;0
;276;Rossum;1860;4;0,22%;2383;1864;78,22%;779;685;232;0;164;0;0;0;0;0
;599;Rotterdam;217404;1252;0,58%;453041;218656;48,26%;41156;77779;25056;31211;0;0;3060;0;8333;0
;600;Rozenburg;6260;34;0,54%;10734;6294;58,64%;1903;1325;1047;704;0;0;0;257;0;0
;277;Rozendaal;837;5;0,60%;993;842;84,79%;0;0;0;0;0;0;0;0;0;0
;840;Rucphen;11148;65;0,58%;17179;11213;65,27%;2688;1261;2451;0;233;0;0;0;0;0
;127;Ruinen;4035;6;0,15%;5334;4041;75,76%;802;1094;1179;0;0;0;0;0;0;0
;128;Ruinerwold;2181;1;0,05%;2685;2182;81,27%;517;547;461;0;0;0;0;76;0;0
;278;Ruurlo;4081;23;0,56%;5842;4104;70,25%;1174;1335;1572;0;0;0;0;0;0;0
;787;'s Gravenmoer;1219;12;0,98%;1604;1231;76,75%;392;340;0;0;0;0;0;0;0;148
;704;Sas van Gent;4268;39;0,91%;6780;4307;63,53%;1341;1053;561;0;0;0;0;0;0;0
;604;Sassenheim;6953;21;0,30%;10789;6974;64,64%;3117;1159;1721;956;0;0;0;0;0;0
;441;Schagen;7015;18;0,26%;12570;7033;55,95%;1606;1787;1687;1222;713;0;0;0;0;0
;843;Schaijk;4008;9;0,22%;5785;4017;69,44%;743;0;380;0;104;0;0;0;0;0
;39;Scheemda;7389;34;0,46%;10305;7423;72,03%;2103;3194;656;0;387;0;0;0;0;307
;458;Schermer;2283;9;0,39%;3138;2292;73,04%;754;553;374;0;0;0;0;0;0;0
;279;Scherpenzeel;4857;6;0,12%;6222;4863;78,16%;1885;978;853;0;0;787;0;0;0;354
;606;Schiedam;30416;116;0,38%;55659;30532;54,86%;7201;10158;3287;4226;2640;0;502;0;1911;0
;88;Schiermonnikoog;664;4;0,60%;723;668;92,39%;0;0;0;0;0;0;0;0;0;0
;844;Schijndel;10185;48;0,47%;16198;10233;63,17%;3096;1397;906;0;0;0;2958;0;0;0
;962;Schinnen;8627;40;0,46%;10509;8667;82,47%;4558;1707;632;0;0;0;0;0;0;0
;607;Schipluiden;4579;21;0,46%;6109;4600;75,30%;2852;0;761;0;0;0;0;0;0;0
;129;Schoonebeek;4074;7;0,17%;5798;4081;70,39%;1526;866;219;0;0;0;0;0;0;0
;608;Schoonhoven;5577;31;0,56%;8421;5608;66,60%;1665;1560;973;0;455;924;0;0;0;0
;444;Schoorl;3599;21;0,58%;5252;3620;68,93%;829;673;0;585;0;0;0;0;0;0
;964;Sevenum;3887;19;0,49%;5196;3906;75,17%;2006;0;441;0;0;0;0;0;0;0
;390;'s-Graveland;4751;33;0,69%;7161;4784;66,81%;1303;0;957;0;0;0;0;0;0;0
;517;'s-Gravendeel;4571;12;0,26%;6331;4583;72,39%;1455;2079;563;0;0;474;0;0;0;0
;518;'s-Gravenhage;170075;917;0,54%;342329;170992;49,95%;36211;41464;33221;25489;12728;0;1141;0;7277;0
;519;'s-Gravenzande;8446;10;0,12%;13524;8456;62,53%;3884;1214;1732;0;0;725;0;0;0;0
;796;'s-Hertogenbosch;33673;165;0,49%;71806;33838;47,12%;9701;8415;3449;3027;2386;0;1663;0;0;0
;965;Simpelveld;8054;5;0,06%;9481;8059;85,00%;1307;506;0;0;0;0;0;0;0;0
;845;Sint Michielsgestel;6961;43;0,62%;9362;7004;74,81%;1768;696;418;887;0;0;0;0;0;0
;712;Sint Philipsland;1531;4;0,26%;1687;1535;90,99%;264;0;0;0;0;695;0;0;0;0
;846;Sint-Oedenrode;8893;32;0,36%;12404;8925;71,95%;3129;0;576;0;0;0;0;0;0;0
;968;Sittard;25333;135;0,53%;35988;25468;70,77%;9525;3016;1617;843;1827;0;142;0;0;0
;51;Skarsterlan;12551;58;0,46%;17721;12609;71,15%;5325;3997;1545;0;0;0;0;0;0;0
;130;Sleen;4947;20;0,40%;6642;4967;74,78%;1052;2459;705;0;0;0;0;0;0;0
;610;Sliedrecht;11080;6;0,05%;17562;11086;63,12%;2361;3481;1196;0;0;0;0;0;0;0
;40;Slochteren;7200;27;0,38%;10695;7227;67,57%;1245;2538;0;806;420;0;0;979;0;0
;713;Sluis;1755;10;0,57%;2333;1765;75,65%;383;489;649;234;0;0;0;0;0;0
;90;Smallingerland;27409;64;0,23%;37798;27473;72,68%;8372;9361;2382;2104;1962;0;0;1216;0;1031
;131;Smilde;4584;35;0,76%;6809;4619;67,84%;1819;1579;588;0;0;0;0;0;0;0
;91;Sneek;14146;44;0,31%;22479;14190;63,13%;5241;5057;1742;0;1321;0;0;0;0;0
;342;Soest;20290;61;0,30%;31873;20351;63,85%;5554;2560;4515;2380;0;0;0;0;0;0
;847;Someren;9213;45;0,49%;12938;9258;71,56%;3022;0;1075;0;0;0;0;0;0;0
;848;Son en Breugel;7344;20;0,27%;10981;7364;67,06%;2586;921;1340;1098;0;0;0;0;0;0
;612;Spijkenisse;25277;106;0,42%;49343;25383;51,44%;4734;7109;5041;5140;0;0;2233;0;0;0
;849;Sprang-Capelle;4572;17;0,37%;7131;4589;64,35%;1146;705;734;0;0;945;0;0;0;0
;179;Stad Delden;4709;5;0,11%;5833;4714;80,82%;2251;829;745;0;0;0;0;0;0;0
;37;Stadskanaal;16502;83;0,50%;25692;16585;64,55%;5552;6561;1271;1222;0;0;0;821;0;1075
;850;Standdaarbuiten;1632;5;0,31%;2121;1637;77,18%;345;255;0;0;0;0;0;0;0;0
;180;Staphorst;7838;21;0,27%;9186;7859;85,55%;1635;924;0;0;0;2399;0;707;0;786
;532;Stede Broec;7853;27;0,34%;13132;7880;60,01%;2722;1325;919;0;792;0;0;0;0;0
;851;Steenbergen;7099;41;0,58%;10946;7140;65,23%;2223;997;799;0;0;0;0;0;0;0
;280;Steenderen;2820;7;0,25%;3535;2827;79,97%;1596;787;437;0;0;0;0;0;0;0
;181;Steenwijk;11590;36;0,31%;16053;11626;72,42%;3785;3763;1189;883;850;0;0;0;0;0
;971;Stein;15911;153;0,96%;20850;16064;77,05%;4705;2194;535;1633;0;0;0;0;0;0
;973;Stramproy;2610;18;0,69%;3787;2628;69,40%;943;342;0;0;0;0;0;0;0;0
;617;Strijen;4627;11;0,24%;6504;4638;71,31%;1347;1520;1017;0;384;359;0;0;0;0
;974;Susteren;8468;71;0,84%;10230;8539;83,47%;1665;698;0;0;0;0;0;0;0;0
;975;Swalmen;3990;32;0,80%;6656;4022;60,43%;2245;1462;283;0;0;0;0;0;0;0
;976;Tegelen;9376;64;0,68%;14494;9440;65,13%;3910;2089;993;0;0;0;0;0;0;0
;9;Ten Boer;3768;22;0,58%;4848;3790;78,18%;1226;1000;453;0;0;0;0;549;0;0
;480;Ter Aar;3547;18;0,51%;6616;3565;53,88%;1547;0;580;0;0;0;0;0;0;0
;853;Terheijden;4156;11;0,26%;6363;4167;65,49%;1751;503;532;0;0;0;0;0;0;0
;715;Terneuzen;15466;63;0,41%;26703;15529;58,15%;4951;3267;2224;1366;1485;1124;0;0;0;0
;93;Terschelling;2927;9;0,31%;3667;2936;80,07%;434;954;837;0;0;0;0;0;0;0
;854;Teteringen;3196;7;0,22%;4261;3203;75,17%;946;585;510;0;0;0;0;0;0;0
;448;Texel;7228;27;0,37%;9686;7255;74,90%;1878;1508;807;0;883;0;0;0;0;0
;716;Tholen;10014;44;0,44%;14170;10058;70,98%;2163;2983;1319;0;0;2836;0;0;0;0
;977;Thorn;1934;21;1,09%;2144;1955;91,18%;0;197;0;0;0;0;0;0;0;0
;281;Tiel;12853;20;0,16%;23968;12873;53,71%;3653;4493;2218;1491;998;0;0;0;0;0
;855;Tilburg;59352;163;0,27%;122976;59515;48,40%;20186;11823;5066;5071;5738;0;3527;0;706;0
;183;Tubbergen;11025;32;0,29%;13887;11057;79,62%;7908;797;0;0;0;0;0;0;0;0
;737;Tytsjerksteradiel;16330;25;0,15%;22242;16355;73,53%;5448;4401;1584;0;0;0;0;0;0;0
;282;Ubbergen;5440;23;0,42%;7558;5463;72,28%;1773;0;648;0;0;0;0;0;0;0
;856;Uden;16833;54;0,32%;26613;16887;63,45%;6343;2300;2626;1109;0;0;2206;0;0;0
;857;Udenhout;4352;13;0,30%;6671;4365;65,43%;1807;689;313;0;0;0;0;0;0;0
;450;Uitgeest;5166;10;0,19%;7373;5176;70,20%;1505;721;756;645;422;0;0;0;0;0
;451;Uithoorn;10953;39;0,36%;17747;10992;61,94%;3016;1468;2389;1328;905;0;0;0;0;0
;45;Ulrum;6145;17;0,28%;8522;6162;72,31%;1856;2188;1023;0;430;0;0;648;0;0
;184;Urk;6715;36;0,54%;7606;6751;88,76%;1665;0;0;0;0;1771;0;443;0;855
;344;Utrecht;99168;485;0,49%;186100;99653;53,55%;19720;25428;9830;16815;17029;701;3624;1039;3847;0
;981;Vaals;5823;66;1,13%;7790;5889;75,60%;1843;1607;838;279;0;0;0;0;0;0
;283;Valburg;6034;14;0,23%;9298;6048;65,05%;2301;1245;555;0;0;490;0;0;0;0
;619;Valkenburg;1575;7;0,44%;2339;1582;67,64%;778;0;196;0;0;0;0;0;0;0
;994;Valkenburg a/d Geul;11912;70;0,59%;14247;11982;84,10%;2579;1006;1032;0;0;0;0;0;0;0
;720;Valkenisse;3204;4;0,12%;4663;3208;68,80%;1348;816;731;0;0;309;0;0;0;0
;858;Valkenswaard;15131;38;0,25%;23263;15169;65,21%;4479;2286;958;618;0;0;0;0;0;0
;47;Veendam;14278;67;0,47%;21662;14345;66,22%;2108;5038;1441;1083;0;0;292;0;0;0
;345;Veenendaal;21416;15;0,07%;34599;21431;61,94%;6454;3110;2359;1895;1800;2442;0;0;0;0
;717;Veere;2957;2;0,07%;3661;2959;80,82%;1029;300;597;327;204;0;0;0;0;0
;860;Veghel;11866;53;0,45%;19043;11919;62,59%;5368;1956;1123;0;0;0;702;0;0;0
;861;Veldhoven;17035;35;0,21%;29364;17070;58,13%;6709;1993;1981;1096;0;0;267;0;0;0
;453;Velsen;26485;130;0,49%;46878;26615;56,78%;7423;7692;4618;4137;1929;0;0;0;0;0
;454;Venhuizen;3816;12;0,31%;5319;3828;71,97%;1237;702;532;0;0;0;0;0;0;0
;983;Venlo;25534;37;0,14%;49488;25571;51,67%;11994;5782;4104;2104;1550;0;0;0;0;0
;984;Venray;14664;41;0,28%;25870;14705;56,84%;7981;2673;1124;0;0;0;0;0;0;0
;862;Vessem c.a.;2936;8;0,27%;3726;2944;79,01%;993;0;195;0;0;0;0;0;0;0
;620;Vianen;9059;27;0,30%;13816;9086;65,76%;2755;2184;1042;1051;0;735;0;0;0;0
;863;Vierlingsbeek;4694;33;0,70%;5925;4727;79,78%;1366;0;0;0;0;0;0;0;0;0
;622;Vlaardingen;33808;119;0,35%;58771;33927;57,73%;7209;7556;3764;4592;1670;0;5398;0;0;0
;48;Vlagtwedde;8056;40;0,50%;12712;8096;63,69%;2519;3012;1098;0;384;0;0;0;0;0
;132;Vledder;2048;7;0,34%;2878;2055;71,40%;418;902;356;0;0;0;0;0;0;0
;347;Vleuten-De Meern;9249;14;0,15%;12218;9263;75,81%;3316;979;1680;0;0;0;0;166;0;0
;96;Vlieland;708;11;1,55%;844;719;85,19%;0;191;302;0;0;0;0;0;0;0
;864;Vlijmen;8572;53;0,62%;11833;8625;72,89%;1519;1102;519;0;0;0;0;0;0;0
;718;Vlissingen;17941;89;0,50%;34129;18030;52,83%;4756;6186;2934;2499;0;0;311;0;0;0
;623;Vlist;5405;18;0,33%;7023;5423;77,22%;1571;796;636;0;0;0;0;0;0;0
;986;Voerendaal;7732;1;0,01%;10372;7733;74,56%;2450;1398;452;0;0;0;0;0;0;0
;624;Voorburg;20460;81;0,40%;32610;20541;62,99%;5777;3548;5328;3179;1025;0;0;0;0;0
;625;Voorhout;5002;14;0,28%;7238;5016;69,30%;1924;566;1033;0;373;0;0;0;0;0
;626;Voorschoten;11175;11;0,10%;16699;11186;66,99%;3901;1646;2911;2123;594;0;0;0;0;0
;285;Voorst;12686;34;0,27%;17859;12720;71,22%;4723;2475;1996;0;407;297;0;0;0;0
;286;Vorden;4897;26;0,53%;6604;4923;74,55%;2424;1232;1241;0;0;0;0;0;0;0
;133;Vries;5547;19;0,34%;7409;5566;75,12%;910;2038;1753;761;0;0;0;85;0;0
;186;Vriezenveen;10347;31;0,30%;13466;10378;77,07%;4489;2174;649;0;0;502;0;0;0;903
;865;Vught;11799;12;0,10%;18668;11811;63,27%;3170;1209;1370;0;0;0;0;0;0;0
;866;Waalre;7905;18;0,23%;11774;7923;67,29%;2582;941;1445;1202;0;0;0;0;0;0
;867;Waalwijk;11664;57;0,49%;21750;11721;53,89%;3950;2088;1668;764;0;0;0;0;0;0
;627;Waddinxveen;11924;37;0,31%;18117;11961;66,02%;3148;2494;2365;1431;0;0;0;0;0;0
;289;Wageningen;17528;42;0,24%;26856;17570;65,42%;3543;4316;2139;3092;3478;0;0;0;0;0
;868;Wanroij;3042;10;0,33%;3667;3052;83,23%;1094;0;0;0;0;0;0;0;0;0
;628;Warmond;2774;9;0,32%;3981;2783;69,91%;1175;0;604;0;0;0;0;0;0;0
;291;Warnsveld;4546;8;0,18%;6523;4554;69,81%;1298;1431;1117;700;0;0;0;0;0;0
;869;Waspik;2684;21;0,78%;3642;2705;74,27%;1062;243;552;0;0;0;0;0;0;0
;629;Wassenaar;13768;11;0,08%;19385;13779;71,08%;4449;1438;6190;1279;412;0;0;0;0;0
;630;Wateringen;6765;3;0,04%;11757;6768;57,57%;3728;0;1728;0;0;0;0;0;0;0
;852;Waterland;9121;21;0,23%;13470;9142;67,87%;2936;2056;1021;787;471;0;0;0;0;0
;188;Weerselo;5371;31;0,58%;6522;5402;82,83%;3748;360;0;0;0;0;0;0;0;0
;988;Weert;18543;135;0,73%;31499;18678;59,30%;5682;3350;1931;0;0;0;371;0;0;0
;457;Weesp;8534;5;0,06%;14207;8539;60,10%;2286;1977;1910;1663;698;0;0;0;0;0
;292;Wehl;3335;10;0,30%;4982;3345;67,14%;1536;523;0;0;0;0;0;0;0;0
;870;Werkendam;8833;50;0,57%;13365;8883;66,46%;3968;2190;951;0;0;1724;0;0;0;0
;459;Wervershoof;3801;14;0,37%;5314;3815;71,79%;1336;0;590;0;0;0;0;0;0;0
;668;West Maas en Waal;9715;39;0,40%;13020;9754;74,92%;1863;1744;627;0;0;0;0;0;0;0
;134;Westerbork;4599;15;0,33%;5792;4614;79,66%;1182;1941;995;0;0;0;0;0;0;0
;871;Westerhoven;1175;5;0,43%;1333;1180;88,52%;0;0;0;0;0;0;0;0;0;0
;558;Wester-Koggenland;6464;28;0,43%;9395;6492;69,10%;2903;1143;1041;0;0;0;0;0;0;0
;725;Westerschouwen;3339;11;0,33%;4476;3350;74,84%;937;979;1026;0;0;0;0;0;0;0
;293;Westervoort;6483;23;0,35%;10915;6506;59,61%;2116;1971;716;1247;433;0;0;0;0;0
;726;Westkapelle;1724;1;0,06%;2040;1725;84,56%;430;651;318;0;0;325;0;0;0;0
;98;Weststellingwerf;12970;50;0,39%;18808;13020;69,23%;3323;5280;0;747;695;0;0;0;0;0
;614;Westvoorne;7395;33;0,45%;10671;7428;69,61%;1494;1886;2233;0;0;0;0;0;0;0
;189;Wierden;12949;40;0,31%;16345;12989;79,47%;7283;2281;0;0;0;422;0;0;0;1368
;462;Wieringen;3974;31;0,78%;6242;4005;64,16%;765;1677;1532;0;0;0;0;0;0;0
;463;Wieringermeer;5911;11;0,19%;8643;5922;68,52%;1804;1027;729;0;0;0;0;0;0;0
;296;Wijchen;16126;24;0,15%;25478;16150;63,39%;4480;2734;1057;1006;0;0;0;0;0;0
;190;Wijhe;4129;28;0,68%;5422;4157;76,67%;1760;1413;480;0;0;0;0;0;0;0
;352;Wijk bij Duurstede;7231;9;0,12%;11276;7240;64,21%;1822;1105;986;1231;568;0;0;0;0;0
;872;Willemstad;1924;12;0,62%;2566;1936;75,45%;944;561;419;0;0;0;0;0;0;0
;52;Winschoten;10260;81;0,79%;15606;10341;66,26%;1566;3087;1095;1026;0;0;0;0;0;0
;53;Winsum;6851;10;0,15%;9407;6861;72,94%;2261;2294;1094;0;649;0;0;553;0;0
;294;Winterswijk;15602;44;0,28%;21711;15646;72,06%;4256;5510;3297;1320;0;0;0;0;0;0
;295;Wisch;10105;40;0,40%;15384;10145;65,95%;3017;2280;834;0;0;0;0;0;0;0
;727;Wissenkerke;1838;4;0,22%;2448;1842;75,25%;730;462;187;0;0;167;0;0;0;0
;990;Wittem;5437;35;0,64%;6129;5472;89,28%;1432;718;0;0;0;0;0;0;0;0
;873;Woensdrecht;4918;17;0,35%;7848;4935;62,88%;1175;941;727;0;0;0;0;0;0;0
;632;Woerden;17097;60;0,35%;25354;17157;67,67%;6845;2267;2657;1819;697;979;1084;0;0;749
;466;Wognum;3659;5;0,14%;5300;3664;69,13%;1775;484;640;760;0;0;0;0;0;0
;880;Wormerland;7088;46;0,65%;10874;7134;65,61%;1838;1220;1233;1035;974;0;0;0;0;0
;351;Woudenberg;5550;12;0,22%;7241;5562;76,81%;1568;974;820;0;0;762;0;0;0;0
;874;Woudrichem;7088;28;0,40%;9911;7116;71,80%;2975;1798;783;0;0;0;0;0;0;0
;875;Wouw;4515;26;0,58%;6572;4541;69,10%;1469;679;529;0;0;0;0;0;0;0
;710;Wûnseradiel;6024;26;0,43%;8229;6050;73,52%;2742;2045;705;0;0;0;0;110;0;0
;683;Wymbritseradiel;7817;8;0,10%;10549;7825;74,18%;3757;1254;573;0;0;0;0;0;0;0
;479;Zaanstad;57924;159;0,27%;100641;58083;57,71%;10641;16690;7839;8943;8277;283;0;620;0;0
;297;Zaltbommel;4568;21;0,46%;7021;4589;65,36%;1208;1855;620;885;0;0;0;0;0;0
;473;Zandvoort;7479;33;0,44%;13004;7512;57,77%;1331;1406;2287;1468;0;0;0;0;0;0
;707;Zederik;7945;24;0,30%;9506;7969;83,83%;2510;1464;778;0;0;1075;0;0;0;637
;877;Zeeland;3173;15;0,47%;4286;3188;74,38%;1124;0;0;0;0;0;0;0;0;0
