Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;PvdA;Lokale partijen;CDA;VVD;GL;SP;CU;D66;SGP;CU_SGP;PvdA_GL;FNP;PvdA-GL-D66;LPF;Verenigde Senioren Partij;GL/D66;PvdA/D66;Duurzaam Nederland;GL/De Groenen;Nieuwe Communistische Partij;Nieuw Rechts;Partij voor het Noorden;PvdA/GL/D66/SP;NVU;VVD/D66;PvdA/GL/SP;GL/SP/D66;Nederland Mobiel;VIP Vooruitstrevende Integratie Partij
10907;164;Hengelo (O);36490;101;0,28%;62751;36591;58,31%;9903;5611;7404;3956;2586;5138;1269;623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10128;63;het Bildt;4979;19;0,38%;8134;4998;61,45%;1540;1339;1519;581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10600;252;Heumen;7989;33;0,41%;12593;8022;63,70%;0;2014;1560;1358;0;0;0;0;0;0;3057;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10307;797;Heusden;18337;71;0,39%;32829;18408;56,07%;2257;11260;1976;1336;1068;0;0;440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11236;534;Hillegom;9222;29;0,31%;15788;9251;58,60%;1554;2688;1603;2001;1036;0;0;340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11297;798;Hilvarenbeek;7339;14;0,19%;11377;7353;64,63%;1407;3880;1382;670;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11285;402;Hilversum;37977;127;0,33%;65624;38104;58,06%;7986;6483;4258;6161;3210;3984;1724;3447;0;0;0;0;0;724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10076;1735;Hof van Twente;18256;53;0,29%;26950;18309;67,94%;4902;4823;6242;2289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10839;118;Hoogeveen;26368;65;0,25%;42000;26433;62,94%;7596;3736;6401;3741;1185;0;2994;388;327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10410;18;Hoogezand-Sappemeer;15257;65;0,43%;26714;15322;57,36%;6451;2976;1483;1673;1654;0;1020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11392;405;Hoorn;27614;133;0,48%;51805;27747;53,56%;8690;7850;3600;3083;3156;0;0;1235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11108;1507;Horst aan de Maas;12847;42;0,33%;21738;12889;59,29%;2876;0;5250;1471;0;3250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10230;321;Houten;19590;63;0,32%;32014;19653;61,39%;4323;3533;3549;2993;2151;0;1315;625;1101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11170;406;Huizen;19406;67;0,35%;31996;19473;60,86%;3506;3394;3327;4208;1817;0;1565;896;693;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11408;677;Hulst;14533;24;0,17%;22011;14557;66,14%;3007;6864;2914;821;0;927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10152;353;IJsselstein;12802;65;0,51%;24875;12867;51,73%;3263;1887;1855;2628;1245;0;903;621;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
