Partij;# Stemmen;Percentage;# Zetels
PvdA;1466802;28,05%;0
KVP;1068863;20,44%;0
RK;603080;11,53%;0
VVD;422528;8,08%;0
ARP;385170;7,36%;0
CHU;351343;6,72%;0
PCG;334322;6,39%;0
CPN;274728;5,25%;0
Overige partijen;131936;2,52%;0
SGP;71426;1,37%;0
KNP;31892;0,61%;0
GG;30869;0,59%;0
GPV;29209;0,56%;0
PC;27787;0,53%;0
